sarcophilus_harrisii ENSSHAG00000012203
notamacropus_eugenii ENSMEUG00000012419
pteropus_vampyrus ENSPVAG00000004428
myotis_lucifugus ENSMLUG00000005333
tursiops_truncatus ENSTTRG00000014876
sorex_araneus ENSSARG00000005109
equus_asinus_asinus ENSEASG00005023268
equus_caballus ENSECAG00000021060
propithecus_coquereli ENSPCOG00000019821
prolemur_simus ENSPSMG00000000507
otolemur_garnettii ENSOGAG00000028848
procavia_capensis ENSPCAG00000005055
echinops_telfairi ENSETEG00000003147
ursus_americanus ENSUAMG00000017582
ursus_maritimus ENSUMAG00000002703
ailuropoda_melanoleuca ENSAMEG00000007066
mustela_putorius_furo ENSMPUG00000006379
neovison_vison ENSNVIG00000022396
canis_lupus_familiaris ENSCAFG00000011968
canis_lupus_dingo ENSCAFG00020021929
vulpes_vulpes ENSVVUG00000017324
panthera_pardus ENSPPRG00000006287
panthera_tigris_altaica ENSPTIG00000021739
felis_catus ENSFCAG00000018985
sus_scrofa ENSSSCG00000007498
oryctolagus_cuniculus ENSOCUG00000025751
ochotona_princeps ENSOPRG00000008678
octodon_degus ENSODEG00000006029
chinchilla_lanigera ENSCLAG00000005877
cavia_porcellus ENSCPOG00000024456
cavia_aperea ENSCAPG00000011848
fukomys_damarensis ENSFDAG00000007437
heterocephalus_glaber_male ENSHGLG00100016849
carlito_syrichta ENSTSYG00000012555
dasypus_novemcinctus ENSDNOG00000038049
choloepus_hoffmanni ENSCHOG00000012359
capra_hircus ENSCHIG00000011944
ovis_aries ENSOARG00000018131
bison_bison_bison ENSBBBG00000025120
bos_mutus ENSBMUG00000016603
bos_taurus ENSBTAG00000031462
ovis_aries ENSOARG00000009806
ovis_aries ENSOARG00000017030
ovis_aries ENSOARG00000017350
bos_taurus ENSBTAG00000046327
bos_taurus ENSBTAG00000053855
bos_taurus ENSBTAG00000051120
bison_bison_bison ENSBBBG00000008852
ovis_aries ENSOARG00000019947
ovis_aries ENSOARG00000017684
ovis_aries ENSOARG00000017536
bos_mutus ENSBMUG00000001264
bison_bison_bison ENSBBBG00000020077
bos_taurus ENSBTAG00000053468
ovis_aries ENSOARG00000005155
castor_canadensis ENSCCNG00000024753
dipodomys_ordii ENSDORG00000010389
mus_musculus ENSMUSG00000027505
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025660
mus_spicilegus ENSMSIG00000026567
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024740
mus_pahari MGP_PahariEiJ_G0026181
rattus_norvegicus ENSRNOG00000005235
meriones_unguiculatus ENSMUGG00000000070
peromyscus_maniculatus_bairdii ENSPEMG00000019342
microtus_ochrogaster ENSMOCG00000021570
cricetulus_griseus_crigri-picr ENSCGRG00015017048
cricetulus_griseus_chok1gshd ENSCGRG00001024477
cricetulus_griseus_crigri ENSCGRG00000003872
nannospalax_galili ENSNGAG00000023427
ictidomys_tridecemlineatus ENSSTOG00000021790
spermophilus_dauricus ENSSDAG00000018631
marmota_marmota_marmota ENSMMMG00000008638
pan_troglodytes ENSPTRG00000034022
pan_paniscus ENSPPAG00000032658
homo_sapiens ENSG00000124103
gorilla_gorilla ENSGGOG00000038147
pongo_abelii ENSPPYG00000011153
nomascus_leucogenys ENSNLEG00000007041
pan_troglodytes ENSPTRG00000013652
pan_paniscus ENSPPAG00000031375
homo_sapiens ENSG00000213714
macaca_mulatta ENSMMUG00000046647
macaca_fascicularis ENSMFAG00000046392
macaca_nemestrina ENSMNEG00000041000
chlorocebus_sabaeus ENSCSAG00000015439
theropithecus_gelada ENSTGEG00000013480
papio_anubis ENSPANG00000023210
cercocebus_atys ENSCATG00000031399
mandrillus_leucophaeus ENSMLEG00000043662
rhinopithecus_bieti ENSRBIG00000038583
rhinopithecus_roxellana ENSRROG00000033070
piliocolobus_tephrosceles ENSPTEG00000007450
piliocolobus_tephrosceles ENSPTEG00000007418
cercocebus_atys ENSCATG00000021733
papio_anubis ENSPANG00000032241
theropithecus_gelada ENSTGEG00000013530
mandrillus_leucophaeus ENSMLEG00000025747
chlorocebus_sabaeus ENSCSAG00000015434
macaca_fascicularis ENSMFAG00000035848
macaca_mulatta ENSMMUG00000000079
macaca_nemestrina ENSMNEG00000031630
piliocolobus_tephrosceles ENSPTEG00000006783
piliocolobus_tephrosceles ENSPTEG00000006741
colobus_angolensis_palliatus ENSCANG00000035483
rhinopithecus_bieti ENSRBIG00000042615
rhinopithecus_roxellana ENSRROG00000034227
saimiri_boliviensis_boliviensis ENSSBOG00000026573
cebus_capucinus ENSCCAG00000029975
loxodonta_africana ENSLAFG00000020518
ornithorhynchus_anatinus ENSOANG00000009252
