mus_musculus ENSMUSG00000055723
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031460
mus_spicilegus ENSMSIG00000028796
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030345
mus_pahari MGP_PahariEiJ_G0013556
rattus_norvegicus ENSRNOG00000012258
meriones_unguiculatus ENSMUGG00000016269
cricetulus_griseus_crigri-picr ENSCGRG00015008836
cricetulus_griseus_chok1gshd ENSCGRG00001010770
cricetulus_griseus_crigri ENSCGRG00000003928
mesocricetus_auratus ENSMAUG00000018548
microtus_ochrogaster ENSMOCG00000001879
peromyscus_maniculatus_bairdii ENSPEMG00000030965
nannospalax_galili ENSNGAG00000001129
jaculus_jaculus ENSJJAG00000023091
echinops_telfairi ENSETEG00000017987
erinaceus_europaeus ENSEEUG00000000240
cebus_capucinus ENSCCAG00000036790
saimiri_boliviensis_boliviensis ENSSBOG00000032501
aotus_nancymaae ENSANAG00000025088
aotus_nancymaae ENSANAG00000023448
capra_hircus ENSCHIG00000021550
theropithecus_gelada ENSTGEG00000013933
papio_anubis ENSPANG00000009252
macaca_fascicularis ENSMFAG00000003904
macaca_mulatta ENSMMUG00000000664
macaca_nemestrina ENSMNEG00000040502
cercocebus_atys ENSCATG00000043382
chlorocebus_sabaeus ENSCSAG00000004707
gorilla_gorilla ENSGGOG00000004759
gorilla_gorilla ENSGGOG00000024745
pan_paniscus ENSPPAG00000030500
pan_troglodytes ENSPTRG00000048812
pongo_abelii ENSPPYG00000025912
rhinopithecus_bieti ENSRBIG00000033953
rhinopithecus_roxellana ENSRROG00000044127
colobus_angolensis_palliatus ENSCANG00000040054
mandrillus_leucophaeus ENSMLEG00000040288
nomascus_leucogenys ENSNLEG00000017700
piliocolobus_tephrosceles ENSPTEG00000011519
pan_troglodytes ENSPTRG00000003383
pan_paniscus ENSPPAG00000042848
homo_sapiens ENSG00000133818
saimiri_boliviensis_boliviensis ENSSBOG00000031627
cebus_capucinus ENSCCAG00000036972
callithrix_jacchus ENSCJAG00000040842
aotus_nancymaae ENSANAG00000020797
callithrix_jacchus ENSCJAG00000022341
heterocephalus_glaber_female ENSHGLG00000005525
heterocephalus_glaber_male ENSHGLG00100018197
heterocephalus_glaber_male ENSHGLG00100006307
heterocephalus_glaber_male ENSHGLG00100018193
fukomys_damarensis ENSFDAG00000015086
heterocephalus_glaber_male ENSHGLG00100019200
heterocephalus_glaber_female ENSHGLG00000003663
fukomys_damarensis ENSFDAG00000006559
octodon_degus ENSODEG00000010498
octodon_degus ENSODEG00000009823
octodon_degus ENSODEG00000017217
chinchilla_lanigera ENSCLAG00000017168
cavia_porcellus ENSCPOG00000033943
cavia_aperea ENSCAPG00000002087
ictidomys_tridecemlineatus ENSSTOG00000022169
spermophilus_dauricus ENSSDAG00000017144
urocitellus_parryii ENSUPAG00010015141
marmota_marmota_marmota ENSMMMG00000002944
propithecus_coquereli ENSPCOG00000016892
prolemur_simus ENSPSMG00000001280
microcebus_murinus ENSMICG00000026746
carlito_syrichta ENSTSYG00000030276
castor_canadensis ENSCCNG00000002511
tupaia_belangeri ENSTBEG00000001292
pteropus_vampyrus ENSPVAG00000009231
myotis_lucifugus ENSMLUG00000007005
equus_caballus ENSECAG00000021393
equus_asinus_asinus ENSEASG00005005934
canis_lupus_dingo ENSCAFG00020017190
canis_lupus_familiaris ENSCAFG00000008396
vulpes_vulpes ENSVVUG00000024249
ursus_americanus ENSUAMG00000019845
ursus_maritimus ENSUMAG00000016991
ailuropoda_melanoleuca ENSAMEG00000002367
neovison_vison ENSNVIG00000020872
mustela_putorius_furo ENSMPUG00000013165
panthera_pardus ENSPPRG00000006082
felis_catus ENSFCAG00000009578
panthera_tigris_altaica ENSPTIG00000018792
felis_catus ENSFCAG00000035713
sus_scrofa ENSSSCG00000033786
sus_scrofa ENSSSCG00000035397
bos_taurus ENSBTAG00000011905
ovis_aries ENSOARG00000007137
vicugna_pacos ENSVPAG00000008814
tursiops_truncatus ENSTTRG00000010419
dasypus_novemcinctus ENSDNOG00000011828
dasypus_novemcinctus ENSDNOG00000041480
bison_bison_bison ENSBBBG00000003357
bos_mutus ENSBMUG00000000088
sorex_araneus ENSSARG00000000390
oryctolagus_cuniculus ENSOCUG00000011362
ochotona_princeps ENSOPRG00000005967
dipodomys_ordii ENSDORG00000028482
otolemur_garnettii ENSOGAG00000027655
loxodonta_africana ENSLAFG00000002561
choloepus_hoffmanni ENSCHOG00000003135
phascolarctos_cinereus ENSPCIG00000010498
sarcophilus_harrisii ENSSHAG00000016060
monodelphis_domestica ENSMODG00000028397
ornithorhynchus_anatinus ENSOANG00000012470
marmota_marmota_marmota ENSMMMG00000002957
gallus_gallus ENSGALG00000005998
gopherus_agassizii ENSGAGG00000025053
chelonoidis_abingdonii ENSCABG00000017710
chrysemys_picta_bellii ENSCPBG00000022721
pelodiscus_sinensis ENSPSIG00000015164
crocodylus_porosus ENSCPRG00005001398
crocodylus_porosus ENSCPRG00005010300
sphenodon_punctatus ENSSPUG00000016774
calidris_pygmaea ENSCPGG00000003584
calidris_pugnax ENSCPUG00000017522
anser_brachyrhynchus ENSABRG00000013813
anas_platyrhynchos_platyrhynchos ENSAPLG00000019435
meleagris_gallopavo ENSMGAG00000006557
coturnix_japonica ENSCJPG00005004729
numida_meleagris ENSNMEG00000010449
lepidothrix_coronata ENSLCOG00000015335
manacus_vitellinus ENSMVIG00005012068
junco_hyemalis ENSJHYG00000002436
zonotrichia_albicollis ENSZALG00000017097
parus_major ENSPMJG00000006322
lonchura_striata_domestica ENSLSDG00000018019
taeniopygia_guttata ENSTGUG00000008422
serinus_canaria ENSSCAG00000005336
cyanistes_caeruleus ENSCCEG00000017005
ficedula_albicollis ENSFALG00000000889
melopsittacus_undulatus ENSMUNG00000014358
apteryx_rowi ENSARWG00000011219
apteryx_owenii ENSAOWG00000013334
apteryx_haastii ENSAHAG00000008534
dromaius_novaehollandiae ENSDNVG00000006608
nothoprocta_perdicaria ENSNPEG00000011845
anolis_carolinensis ENSACAG00000012369
notechis_scutatus ENSNSUG00000018430
pogona_vitticeps ENSPVIG00000003525
salvator_merianae ENSSMRG00000014988
latimeria_chalumnae ENSLACG00000013122
pogona_vitticeps ENSPVIG00000013437
scophthalmus_maximus ENSSMAG00000021406
cyprinodon_variegatus ENSCVAG00000004694
mola_mola ENSMMOG00000017191
cynoglossus_semilaevis ENSCSEG00000009987
poecilia_latipinna ENSPLAG00000008614
poecilia_formosa ENSPFOG00000024387
poecilia_mexicana ENSPMEG00000017927
poecilia_mexicana ENSPMEG00000010573
poecilia_reticulata ENSPREG00000023037
xiphophorus_maculatus ENSXMAG00000007001
xiphophorus_couchianus ENSXCOG00000011229
gambusia_affinis ENSGAFG00000014541
poecilia_latipinna ENSPLAG00000019120
poecilia_mexicana ENSPMEG00000018380
