dipodomys_ordii ENSDORG00000023286
castor_canadensis ENSCCNG00000028815
mus_spretus MGP_SPRETEiJ_G0022433
mus_musculus ENSMUSG00000090509
mus_spicilegus ENSMSIG00000014734
mus_caroli MGP_CAROLIEiJ_G0021526
mus_pahari MGP_PahariEiJ_G0020520
rattus_norvegicus ENSRNOG00000048987
meriones_unguiculatus ENSMUGG00000015330
cricetulus_griseus ENSCGRG00000013314
cricetulus_griseus ENSCGRG00001012568
cricetulus_griseus ENSCGRG00015028219
mesocricetus_auratus ENSMAUG00000020430
peromyscus_maniculatus ENSPEMG00000027689
microtus_ochrogaster ENSMOCG00000000898
nannospalax_galili ENSNGAG00000019262
heterocephalus_glaber ENSHGLG00000012518
heterocephalus_glaber ENSHGLG00100012172
fukomys_damarensis ENSFDAG00000007400
chinchilla_lanigera ENSCLAG00000004075
spermophilus_dauricus ENSSDAG00000016613
marmota_marmota ENSMMMG00000020383
ictidomys_tridecemlineatus ENSSTOG00000034599
urocitellus_parryii ENSUPAG00010003706
oryctolagus_cuniculus ENSOCUG00000035950
ochotona_princeps ENSOPRG00000000700
homo_sapiens ENSG00000196260
gorilla_gorilla ENSGGOG00000014605
pan_troglodytes ENSPTRG00000023665
pan_paniscus ENSPPAG00000032516
pongo_abelii ENSPPYG00000016425
nomascus_leucogenys ENSNLEG00000005685
colobus_angolensis ENSCANG00000043493
piliocolobus_tephrosceles ENSPTEG00000030957
rhinopithecus_bieti ENSRBIG00000029336
rhinopithecus_roxellana ENSRROG00000015644
macaca_fascicularis ENSMFAG00000031275
macaca_mulatta ENSMMUG00000057864
macaca_nemestrina ENSMNEG00000036271
cercocebus_atys ENSCATG00000042486
chlorocebus_sabaeus ENSCSAG00000008333
mandrillus_leucophaeus ENSMLEG00000037583
theropithecus_gelada ENSTGEG00000008670
theropithecus_gelada ENSTGEG00000012306
papio_anubis ENSPANG00000030986
saimiri_boliviensis ENSSBOG00000019073
cebus_capucinus ENSCCAG00000029652
callithrix_jacchus ENSCJAG00000064559
aotus_nancymaae ENSANAG00000032036
carlito_syrichta ENSTSYG00000009915
propithecus_coquereli ENSPCOG00000002888
prolemur_simus ENSPSMG00000005389
microcebus_murinus ENSMICG00000030909
neovison_vison ENSNVIG00000019030
mustela_putorius ENSMPUG00000011640
ursus_americanus ENSUAMG00000026254
ursus_maritimus ENSUMAG00000019901
canis_lupus ENSCAFG00000049828
canis_lupus ENSCAFG00020019546
vulpes_vulpes ENSVVUG00000010828
panthera_pardus ENSPPRG00000002623
panthera_tigris ENSPTIG00000017021
felis_catus ENSFCAG00000039231
pteropus_vampyrus ENSPVAG00000004203
bos_mutus ENSBMUG00000007952
bos_taurus ENSBTAG00000038810
bos_indicus ENSBIXG00005016071
bos_indicus ENSBIXG00000012886
bison_bison ENSBBBG00000003905
ovis_aries ENSOARG00000010735
capra_hircus ENSCHIG00000017372
sus_scrofa ENSSSCG00000037154
tursiops_truncatus ENSTTRG00000012254
erinaceus_europaeus ENSEEUG00000012864
equus_caballus ENSECAG00000015103
equus_asinus ENSEASG00005020650
notamacropus_eugenii ENSMEUG00000015624
