scophthalmus_maximus ENSSMAG00000010500
cynoglossus_semilaevis ENSCSEG00000021343
seriola_lalandi_dorsalis ENSSLDG00000007619
seriola_dumerili ENSSDUG00000006574
amphiprion_percula ENSAPEG00000020131
amphiprion_ocellaris ENSAOCG00000007405
acanthochromis_polyacanthus ENSAPOG00000007685
stegastes_partitus ENSSPAG00000012295
astatotilapia_calliptera ENSACLG00000005643
maylandia_zebra ENSMZEG00005024241
haplochromis_burtoni ENSHBUG00000007329
pundamilia_nyererei ENSPNYG00000003646
neolamprologus_brichardi ENSNBRG00000015784
oreochromis_niloticus ENSONIG00000015201
amphilophus_citrinellus ENSACIG00000012530
fundulus_heteroclitus ENSFHEG00000023089
cyprinodon_variegatus ENSCVAG00000000657
xiphophorus_maculatus ENSXMAG00000025637
gambusia_affinis ENSGAFG00000020997
poecilia_mexicana ENSPMEG00000000511
poecilia_formosa ENSPFOG00000003422
poecilia_latipinna ENSPLAG00000018451
poecilia_reticulata ENSPREG00000001671
kryptolebias_marmoratus ENSKMAG00000018036
mastacembelus_armatus ENSMAMG00000008181
monopterus_albus ENSMALG00000014274
anabas_testudineus ENSATEG00000017374
mola_mola ENSMMOG00000019540
tetraodon_nigroviridis ENSTNIG00000004224
takifugu_rubripes ENSTRUG00000006811
gasterosteus_aculeatus ENSGACG00000017792
labrus_bergylta ENSLBEG00000005086
hippocampus_comes ENSHCOG00000012413
periophthalmus_magnuspinnatus ENSPMGG00000010055
oryzias_latipes ENSORLG00000003033
oryzias_latipes_asm223469v1 ENSORLG00015009689
oryzias_melastigma ENSOMEG00000022740
xiphophorus_couchianus ENSXCOG00000019440
gadus_morhua ENSGMOG00000010846
esox_lucius ENSELUG00000004094
pygocentrus_nattereri ENSPNAG00000027441
astyanax_mexicanus ENSAMXG00000034872
ictalurus_punctatus ENSIPUG00000015463
danio_rerio ENSDARG00000023303
scleropages_formosus ENSSFOG00015012268
paramormyrops_kingsleyae ENSPKIG00000008203
lepisosteus_oculatus ENSLOCG00000000804
