neolamprologus_brichardi ENSNBRG00000012679
pundamilia_nyererei ENSPNYG00000002021
periophthalmus_magnuspinnatus ENSPMGG00000014670
caenorhabditis_elegans_strain_n2 WBGene00010638
scophthalmus_maximus ENSSMAG00000004064
mastacembelus_armatus ENSMAMG00000000989
hippocampus_comes ENSHCOG00000012856
amphiprion_percula ENSAPEG00000004421
amphiprion_percula ENSAPEG00000004400
amphiprion_ocellaris ENSAOCG00000003570
takifugu_rubripes ENSTRUG00000009278
tetraodon_nigroviridis ENSTNIG00000002673
poecilia_mexicana ENSPMEG00000006567
poecilia_latipinna ENSPLAG00000008235
poecilia_reticulata ENSPREG00000010175
xiphophorus_maculatus ENSXMAG00000027913
gambusia_affinis ENSGAFG00000001708
cyprinodon_variegatus ENSCVAG00000009871
astatotilapia_calliptera ENSACLG00000004270
haplochromis_burtoni ENSHBUG00000014394
maylandia_zebra ENSMZEG00005017111
oreochromis_niloticus ENSONIG00000000491
amphilophus_citrinellus ENSACIG00000010793
oryzias_latipes ENSORLG00020010643
oryzias_latipes_asm223469v1 ENSORLG00015007152
oryzias_latipes ENSORLG00000019906
oryzias_melastigma ENSOMEG00000003904
labrus_bergylta ENSLBEG00000026169
gasterosteus_aculeatus ENSGACG00000004077
anabas_testudineus ENSATEG00000002107
seriola_dumerili ENSSDUG00000019240
seriola_lalandi_dorsalis ENSSLDG00000007021
cynoglossus_semilaevis ENSCSEG00000012803
stegastes_partitus ENSSPAG00000019982
acanthochromis_polyacanthus ENSAPOG00000008905
mola_mola ENSMMOG00000013534
amphiprion_percula ENSAPEG00000020964
monopterus_albus ENSMALG00000022669
monopterus_albus ENSMALG00000022670
scophthalmus_maximus ENSSMAG00000004076
fundulus_heteroclitus ENSFHEG00000017935
fundulus_heteroclitus ENSFHEG00000017954
cyprinodon_variegatus ENSCVAG00000011581
xiphophorus_maculatus ENSXMAG00000010471
gambusia_affinis ENSGAFG00000001731
xiphophorus_couchianus ENSXCOG00000016657
poecilia_formosa ENSPFOG00000002057
kryptolebias_marmoratus ENSKMAG00000015508
gadus_morhua ENSGMOG00000002927
esox_lucius ENSELUG00000015288
pygocentrus_nattereri ENSPNAG00000029992
astyanax_mexicanus ENSAMXG00000029217
ictalurus_punctatus ENSIPUG00000010933
danio_rerio ENSDARG00000044143
scleropages_formosus ENSSFOG00015002403
paramormyrops_kingsleyae ENSPKIG00000025150
lepisosteus_oculatus ENSLOCG00000013864
latimeria_chalumnae ENSLACG00000018898
xenopus_tropicalis ENSXETG00000020913
chelonoidis_abingdonii ENSCABG00000010384
chelonoidis_abingdonii ENSCABG00000010383
gopherus_agassizii ENSGAGG00000010379
chrysemys_picta_bellii ENSCPBG00000006773
pelodiscus_sinensis ENSPSIG00000013948
anser_brachyrhynchus ENSABRG00000012782
anser_brachyrhynchus ENSABRG00000000147
anas_platyrhynchos_platyrhynchos ENSAPLG00000005526
meleagris_gallopavo ENSMGAG00000004495
gallus_gallus ENSGALG00000004750
numida_meleagris ENSNMEG00000013424
manacus_vitellinus ENSMVIG00005015039
manacus_vitellinus ENSMVIG00005005203
manacus_vitellinus ENSMVIG00005015030
manacus_vitellinus ENSMVIG00005000324
manacus_vitellinus ENSMVIG00005004338
manacus_vitellinus ENSMVIG00005006265
lepidothrix_coronata ENSLCOG00000000875
parus_major ENSPMJG00000005087
cyanistes_caeruleus ENSCCEG00000000342
parus_major ENSPMJG00000005086
ficedula_albicollis ENSFALG00000009066
lonchura_striata_domestica ENSLSDG00000017811
taeniopygia_guttata ENSTGUG00000005411
junco_hyemalis ENSJHYG00000006080
zonotrichia_albicollis ENSZALG00000017802
serinus_canaria ENSSCAG00000012697
coturnix_japonica ENSCJPG00005012248
melopsittacus_undulatus ENSMUNG00000015068
calidris_pygmaea ENSCPGG00000004947
calidris_pygmaea ENSCPGG00000003183
calidris_pugnax ENSCPUG00000012763
nothoprocta_perdicaria ENSNPEG00000004266
apteryx_haastii ENSAHAG00000005974
apteryx_rowi ENSARWG00000001814
apteryx_rowi ENSARWG00000001815
apteryx_owenii ENSAOWG00000017337
cyanistes_caeruleus ENSCCEG00000000326
dromaius_novaehollandiae ENSDNVG00000006002
pogona_vitticeps ENSPVIG00000014146
anolis_carolinensis ENSACAG00000009201
sphenodon_punctatus ENSSPUG00000002744
crocodylus_porosus ENSCPRG00005019197
salvator_merianae ENSSMRG00000014853
notechis_scutatus ENSNSUG00000018773
