poecilia_formosa ENSPFOG00000011825
poecilia_mexicana ENSPMEG00000012609
xiphophorus_couchianus ENSXCOG00000013257
gambusia_affinis ENSGAFG00000009868
fundulus_heteroclitus ENSFHEG00000003911
kryptolebias_marmoratus ENSKMAG00000013314
haplochromis_burtoni ENSHBUG00000018341
pundamilia_nyererei ENSPNYG00000002555
maylandia_zebra ENSMZEG00005023903
astatotilapia_calliptera ENSACLG00000006491
neolamprologus_brichardi ENSNBRG00000000418
tetraodon_nigroviridis ENSTNIG00000004177
scophthalmus_maximus ENSSMAG00000015129
cynoglossus_semilaevis ENSCSEG00000002972
labrus_bergylta ENSLBEG00000009421
anabas_testudineus ENSATEG00000003647
amphiprion_ocellaris ENSAOCG00000017294
amphiprion_percula ENSAPEG00000000321
acanthochromis_polyacanthus ENSAPOG00000016157
mola_mola ENSMMOG00000008750
mastacembelus_armatus ENSMAMG00000001742
haplochromis_burtoni ENSHBUG00000018326
maylandia_zebra ENSMZEG00005023904
pundamilia_nyererei ENSPNYG00000002568
oreochromis_niloticus ENSONIG00000018122
amphilophus_citrinellus ENSACIG00000004609
stegastes_partitus ENSSPAG00000021542
monopterus_albus ENSMALG00000020952
seriola_lalandi_dorsalis ENSSLDG00000016296
seriola_dumerili ENSSDUG00000000717
gasterosteus_aculeatus ENSGACG00000019403
hippocampus_comes ENSHCOG00000017791
periophthalmus_magnuspinnatus ENSPMGG00000014332
gadus_morhua ENSGMOG00000011904
esox_lucius ENSELUG00000008190
scleropages_formosus ENSSFOG00015006458
lepisosteus_oculatus ENSLOCG00000013384
