vulpes_vulpes ENSVVUG00000002731
canis_lupus_dingo ENSCAFG00020025730
myotis_lucifugus ENSMLUG00000009795
monodelphis_domestica ENSMODG00000019945
sarcophilus_harrisii ENSSHAG00000000923
sus_scrofa ENSSSCG00000034311
sus_scrofa ENSSSCG00000037503
bos_taurus ENSBTAG00000031119
pteropus_vampyrus ENSPVAG00000013297
ailuropoda_melanoleuca ENSAMEG00000019046
canis_lupus_familiaris ENSCAFG00000008258
panthera_pardus ENSPPRG00000020334
panthera_tigris_altaica ENSPTIG00000010125
felis_catus ENSFCAG00000009668
prolemur_simus ENSPSMG00000022507
otolemur_garnettii ENSOGAG00000012962
macaca_mulatta ENSMMUG00000005867
theropithecus_gelada ENSTGEG00000023893
chlorocebus_sabaeus ENSCSAG00000019205
pan_paniscus ENSPPAG00000010561
pan_troglodytes ENSPTRG00000003582
homo_sapiens ENSG00000176555
gorilla_gorilla ENSGGOG00000025828
carlito_syrichta ENSTSYG00000025982
loxodonta_africana ENSLAFG00000031832
loxodonta_africana ENSLAFG00000029020
dasypus_novemcinctus ENSDNOG00000001481
monodelphis_domestica ENSMODG00000019944
sarcophilus_harrisii ENSSHAG00000002260
