xiphophorus_maculatus ENSXMAG00000026382
poecilia_reticulata ENSPREG00000022456
gambusia_affinis ENSGAFG00000004612
stegastes_partitus ENSSPAG00000007919
maylandia_zebra ENSMZEG00005000454
neolamprologus_brichardi ENSNBRG00000014309
amphilophus_citrinellus ENSACIG00000000970
anabas_testudineus ENSATEG00000020937
monopterus_albus ENSMALG00000018251
seriola_dumerili ENSSDUG00000011020
oryzias_latipes ENSORLG00000025801
oryzias_latipes ENSORLG00020009734
oryzias_latipes_asm223469v1 ENSORLG00015001977
hippocampus_comes ENSHCOG00000009247
hippocampus_comes ENSHCOG00000020621
periophthalmus_magnuspinnatus ENSPMGG00000023314
esox_lucius ENSELUG00000010863
astyanax_mexicanus ENSAMXG00000042431
pygocentrus_nattereri ENSPNAG00000013781
