crocodylus_porosus ENSCPRG00005009620
coturnix_japonica ENSCJPG00005017496
notechis_scutatus ENSNSUG00000011000
pogona_vitticeps ENSPVIG00000013008
salvator_merianae ENSSMRG00000004057
latimeria_chalumnae ENSLACG00000012966
hucho_hucho ENSHHUG00000027210
hucho_hucho ENSHHUG00000032541
esox_lucius ENSELUG00000021306
cottoperca_gobio ENSCGOG00000018345
lates_calcarifer ENSLCAG00010000228
monopterus_albus ENSMALG00000012960
mastacembelus_armatus ENSMAMG00000000412
gasterosteus_aculeatus ENSGACG00000014182
larimichthys_crocea ENSLCRG00005019480
mola_mola ENSMMOG00000015356
takifugu_rubripes ENSTRUG00000024059
labrus_bergylta ENSLBEG00000020392
labrus_bergylta ENSLBEG00000019462
seriola_dumerili ENSSDUG00000012652
seriola_lalandi ENSSLDG00000014042
cynoglossus_semilaevis ENSCSEG00000007014
anabas_testudineus ENSATEG00000009922
betta_splendens ENSBSLG00000002735
hippocampus_comes ENSHCOG00000004865
amphiprion_ocellaris ENSAOCG00000021444
amphiprion_percula ENSAPEG00000002443
acanthochromis_polyacanthus ENSAPOG00000009808
stegastes_partitus ENSSPAG00000021908
parambassis_ranga ENSPRNG00000015638
cyprinodon_variegatus ENSCVAG00000002858
fundulus_heteroclitus ENSFHEG00000006747
gambusia_affinis ENSGAFG00000003128
xiphophorus_couchianus ENSXCOG00000017720
poecilia_reticulata ENSPREG00000008144
poecilia_reticulata ENSPREG00000001921
poecilia_formosa ENSPFOG00000008324
poecilia_latipinna ENSPLAG00000012007
poecilia_mexicana ENSPMEG00000024034
xiphophorus_maculatus ENSXMAG00000022903
kryptolebias_marmoratus ENSKMAG00000012842
oryzias_latipes ENSORLG00020003047
oryzias_latipes ENSORLG00000027156
oryzias_latipes ENSORLG00015005451
oryzias_melastigma ENSOMEG00000003119
haplochromis_burtoni ENSHBUG00000013354
pundamilia_nyererei ENSPNYG00000014248
maylandia_zebra ENSMZEG00005017226
astatotilapia_calliptera ENSACLG00000000002
neolamprologus_brichardi ENSNBRG00000000461
oreochromis_niloticus ENSONIG00000018088
amphilophus_citrinellus ENSACIG00000002375
gouania_willdenowi ENSGWIG00000016240
periophthalmus_magnuspinnatus ENSPMGG00000004992
gadus_morhua ENSGMOG00000015712
denticeps_clupeoides ENSDCDG00000022303
clupea_harengus ENSCHAG00000026237
astyanax_mexicanus ENSAMXG00000034636
astyanax_mexicanus ENSAMXG00005023977
pygocentrus_nattereri ENSPNAG00000021864
electrophorus_electricus ENSEEEG00000018288
ictalurus_punctatus ENSIPUG00000014549
danio_rerio ENSDARG00000104287
paramormyrops_kingsleyae ENSPKIG00000022620
scleropages_formosus ENSSFOG00015005905
lepisosteus_oculatus ENSLOCG00000005078
erpetoichthys_calabaricus ENSECRG00000013576
callorhinchus_milii ENSCMIG00000017122
eptatretus_burgeri ENSEBUG00000004156
