mus_spicilegus ENSMSIG00000019722
mus_musculus ENSMUSG00000027884
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025537
mus_pahari MGP_PahariEiJ_G0026983
rattus_norvegicus ENSRNOG00000020360
meriones_unguiculatus ENSMUGG00000024126
cricetulus_griseus_crigri ENSCGRG00000005923
cricetulus_griseus_chok1gshd ENSCGRG00001021292
cricetulus_griseus_crigri-picr ENSCGRG00015026597
mesocricetus_auratus ENSMAUG00000011740
peromyscus_maniculatus_bairdii ENSPEMG00000017752
microtus_ochrogaster ENSMOCG00000003876
jaculus_jaculus ENSJJAG00000022603
heterocephalus_glaber_male ENSHGLG00100017977
heterocephalus_glaber_female ENSHGLG00000012601
fukomys_damarensis ENSFDAG00000016955
cavia_porcellus ENSCPOG00000001079
cavia_aperea ENSCAPG00000007735
octodon_degus ENSODEG00000006907
urocitellus_parryii ENSUPAG00010015317
marmota_marmota_marmota ENSMMMG00000020289
spermophilus_dauricus ENSSDAG00000013623
ictidomys_tridecemlineatus ENSSTOG00000006066
dipodomys_ordii ENSDORG00000004151
oryctolagus_cuniculus ENSOCUG00000002991
ochotona_princeps ENSOPRG00000002383
tupaia_belangeri ENSTBEG00000016274
pan_paniscus ENSPPAG00000033629
pan_troglodytes ENSPTRG00000001038
homo_sapiens ENSG00000121940
gorilla_gorilla ENSGGOG00000005187
pongo_abelii ENSPPYG00000001086
nomascus_leucogenys ENSNLEG00000002166
piliocolobus_tephrosceles ENSPTEG00000010027
colobus_angolensis_palliatus ENSCANG00000021697
rhinopithecus_roxellana ENSRROG00000034840
rhinopithecus_bieti ENSRBIG00000036829
macaca_nemestrina ENSMNEG00000029353
macaca_mulatta ENSMMUG00000000390
macaca_fascicularis ENSMFAG00000000255
chlorocebus_sabaeus ENSCSAG00000001536
cercocebus_atys ENSCATG00000037397
mandrillus_leucophaeus ENSMLEG00000040719
theropithecus_gelada ENSTGEG00000000668
papio_anubis ENSPANG00000003629
cebus_capucinus ENSCCAG00000030221
saimiri_boliviensis_boliviensis ENSSBOG00000034488
callithrix_jacchus ENSCJAG00000002641
aotus_nancymaae ENSANAG00000030771
carlito_syrichta ENSTSYG00000005270
prolemur_simus ENSPSMG00000012476
microcebus_murinus ENSMICG00000008425
propithecus_coquereli ENSPCOG00000022049
otolemur_garnettii ENSOGAG00000013481
pteropus_vampyrus ENSPVAG00000011923
erinaceus_europaeus ENSEEUG00000010509
equus_caballus ENSECAG00000011158
equus_asinus_asinus ENSEASG00005001049
myotis_lucifugus ENSMLUG00000010565
ovis_aries ENSOARG00000019005
capra_hircus ENSCHIG00000024411
bos_mutus ENSBMUG00000004115
bos_taurus ENSBTAG00000017129
bison_bison_bison ENSBBBG00000009334
tursiops_truncatus ENSTTRG00000003164
sus_scrofa ENSSSCG00000006841
vicugna_pacos ENSVPAG00000005558
ailuropoda_melanoleuca ENSAMEG00000004506
ursus_maritimus ENSUMAG00000012765
neovison_vison ENSNVIG00000023912
mustela_putorius_furo ENSMPUG00000002771
canis_lupus_dingo ENSCAFG00020010904
canis_lupus_familiaris ENSCAFG00000019871
vulpes_vulpes ENSVVUG00000000818
panthera_pardus ENSPPRG00000019233
panthera_tigris_altaica ENSPTIG00000021085
felis_catus ENSFCAG00000010845
sorex_araneus ENSSARG00000003709
choloepus_hoffmanni ENSCHOG00000012450
loxodonta_africana ENSLAFG00000004286
procavia_capensis ENSPCAG00000002393
echinops_telfairi ENSETEG00000010152
sarcophilus_harrisii ENSSHAG00000017491
phascolarctos_cinereus ENSPCIG00000024866
ornithorhynchus_anatinus ENSOANG00000014490
gopherus_agassizii ENSGAGG00000021220
chelonoidis_abingdonii ENSCABG00000008927
chrysemys_picta_bellii ENSCPBG00000028294
pelodiscus_sinensis ENSPSIG00000009295
manacus_vitellinus ENSMVIG00005016115
lepidothrix_coronata ENSLCOG00000013224
parus_major ENSPMJG00000019288
cyanistes_caeruleus ENSCCEG00000000696
junco_hyemalis ENSJHYG00000016651
zonotrichia_albicollis ENSZALG00000015229
serinus_canaria ENSSCAG00000011808
lonchura_striata_domestica ENSLSDG00000002789
taeniopygia_guttata ENSTGUG00000004508
ficedula_albicollis ENSFALG00000002691
calidris_pygmaea ENSCPGG00000002949
calidris_pugnax ENSCPUG00000001516
melopsittacus_undulatus ENSMUNG00000001969
anser_brachyrhynchus ENSABRG00000011685
anas_platyrhynchos_platyrhynchos ENSAPLG00000013572
gallus_gallus ENSGALG00000002106
coturnix_japonica ENSCJPG00005021091
meleagris_gallopavo ENSMGAG00000006070
numida_meleagris ENSNMEG00000020133
apteryx_owenii ENSAOWG00000003354
apteryx_haastii ENSAHAG00000015259
apteryx_rowi ENSARWG00000000530
dromaius_novaehollandiae ENSDNVG00000007579
anolis_carolinensis ENSACAG00000006088
notechis_scutatus ENSNSUG00000006266
salvator_merianae ENSSMRG00000014570
sphenodon_punctatus ENSSPUG00000017801
xenopus_tropicalis ENSXETG00000005228
