ursus_americanus ENSUAMG00000007903
ursus_maritimus ENSUMAG00000000927
ailuropoda_melanoleuca ENSAMEG00000010576
canis_lupus ENSCAFG00020025838
canis_lupus ENSCAFG00000023869
vulpes_vulpes ENSVVUG00000008302
neovison_vison ENSNVIG00000023336
mustela_putorius ENSMPUG00000015184
felis_catus ENSFCAG00000042220
panthera_pardus ENSPPRG00000013370
equus_asinus ENSEASG00005006091
equus_caballus ENSECAG00000009869
myotis_lucifugus ENSMLUG00000000012
myotis_lucifugus ENSMLUG00000000013
pteropus_vampyrus ENSPVAG00000001475
bos_indicus ENSBIXG00005008722
bos_indicus ENSBIXG00000029938
bos_taurus ENSBTAG00000005572
bos_mutus ENSBMUG00000014088
bison_bison ENSBBBG00000022591
capra_hircus ENSCHIG00000023092
ovis_aries ENSOARG00000001319
sus_scrofa ENSSSCG00000029375
tursiops_truncatus ENSTTRG00000004054
erinaceus_europaeus ENSEEUG00000010049
sorex_araneus ENSSARG00000006551
propithecus_coquereli ENSPCOG00000018796
prolemur_simus ENSPSMG00000017267
microcebus_murinus ENSMICG00000009089
otolemur_garnettii ENSOGAG00000003693
pan_troglodytes ENSPTRG00000046972
pan_troglodytes ENSPTRG00000007686
pan_paniscus ENSPPAG00000029679
homo_sapiens ENSG00000122386
gorilla_gorilla ENSGGOG00000012036
pongo_abelii ENSPPYG00000007034
nomascus_leucogenys ENSNLEG00000009600
macaca_fascicularis ENSMFAG00000031163
macaca_nemestrina ENSMNEG00000035657
macaca_mulatta ENSMMUG00000009487
theropithecus_gelada ENSTGEG00000025670
papio_anubis ENSPANG00000034385
cercocebus_atys ENSCATG00000031370
mandrillus_leucophaeus ENSMLEG00000029321
chlorocebus_sabaeus ENSCSAG00000010150
colobus_angolensis ENSCANG00000041423
piliocolobus_tephrosceles ENSPTEG00000012762
rhinopithecus_bieti ENSRBIG00000044637
rhinopithecus_roxellana ENSRROG00000018888
saimiri_boliviensis ENSSBOG00000026984
cebus_capucinus ENSCCAG00000033219
callithrix_jacchus ENSCJAG00000047263
aotus_nancymaae ENSANAG00000026833
carlito_syrichta ENSTSYG00000026498
mus_spicilegus ENSMSIG00000014092
mus_spretus MGP_SPRETEiJ_G0022056
mus_musculus ENSMUSG00000062012
mus_caroli MGP_CAROLIEiJ_G0021146
mus_pahari MGP_PahariEiJ_G0023463
rattus_norvegicus ENSRNOG00000003455
meriones_unguiculatus ENSMUGG00000017334
cricetulus_griseus ENSCGRG00015011189
cricetulus_griseus ENSCGRG00001021997
cricetulus_griseus ENSCGRG00000015970
mesocricetus_auratus ENSMAUG00000011649
microtus_ochrogaster ENSMOCG00000015466
peromyscus_maniculatus ENSPEMG00000017514
nannospalax_galili ENSNGAG00000017561
jaculus_jaculus ENSJJAG00000016875
chinchilla_lanigera ENSCLAG00000015696
octodon_degus ENSODEG00000013119
heterocephalus_glaber ENSHGLG00100005615
heterocephalus_glaber ENSHGLG00000008089
fukomys_damarensis ENSFDAG00000009741
cavia_porcellus ENSCPOG00000034208
cavia_aperea ENSCAPG00000012832
urocitellus_parryii ENSUPAG00010018569
ictidomys_tridecemlineatus ENSSTOG00000003803
spermophilus_dauricus ENSSDAG00000008527
marmota_marmota ENSMMMG00000007971
castor_canadensis ENSCCNG00000017968
oryctolagus_cuniculus ENSOCUG00000010556
ochotona_princeps ENSOPRG00000005820
procavia_capensis ENSPCAG00000016123
procavia_capensis ENSPCAG00000016003
loxodonta_africana ENSLAFG00000021564
echinops_telfairi ENSETEG00000011456
echinops_telfairi ENSETEG00000002476
dasypus_novemcinctus ENSDNOG00000037994
dipodomys_ordii ENSDORG00000023529
notamacropus_eugenii ENSMEUG00000004328
vombatus_ursinus ENSVURG00010000287
monodelphis_domestica ENSMODG00000049500
