poecilia_latipinna ENSPLAG00000003968
poecilia_reticulata ENSPREG00000020790
poecilia_formosa ENSPFOG00000008819
xiphophorus_couchianus ENSXCOG00000009975
gambusia_affinis ENSGAFG00000007750
xiphophorus_maculatus ENSXMAG00000029015
poecilia_mexicana ENSPMEG00000004867
fundulus_heteroclitus ENSFHEG00000018302
cyprinodon_variegatus ENSCVAG00000014712
mastacembelus_armatus ENSMAMG00000023606
anabas_testudineus ENSATEG00000004675
monopterus_albus ENSMALG00000005344
seriola_lalandi_dorsalis ENSSLDG00000016914
scophthalmus_maximus ENSSMAG00000001604
labrus_bergylta ENSLBEG00000009896
amphiprion_percula ENSAPEG00000016329
amphiprion_ocellaris ENSAOCG00000018332
acanthochromis_polyacanthus ENSAPOG00000000302
stegastes_partitus ENSSPAG00000003182
maylandia_zebra ENSMZEG00005006510
astatotilapia_calliptera ENSACLG00000026085
pundamilia_nyererei ENSPNYG00000006811
haplochromis_burtoni ENSHBUG00000004205
kryptolebias_marmoratus ENSKMAG00000016995
gadus_morhua ENSGMOG00000017750
oryzias_latipes ENSORLG00000027242
oryzias_latipes_asm223469v1 ENSORLG00015003175
oryzias_latipes ENSORLG00020007352
oryzias_melastigma ENSOMEG00000001982
gasterosteus_aculeatus ENSGACG00000011250
mola_mola ENSMMOG00000009916
amphilophus_citrinellus ENSACIG00000001944
neolamprologus_brichardi ENSNBRG00000018036
seriola_dumerili ENSSDUG00000009003
esox_lucius ENSELUG00000014113
astyanax_mexicanus ENSAMXG00000044020
pygocentrus_nattereri ENSPNAG00000007183
ictalurus_punctatus ENSIPUG00000004679
danio_rerio ENSDARG00000074906
paramormyrops_kingsleyae ENSPKIG00000005375
scleropages_formosus ENSSFOG00015015030
lepisosteus_oculatus ENSLOCG00000018360
mus_spicilegus ENSMSIG00000027355
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025684
mus_musculus ENSMUSG00000050600
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024763
mus_pahari MGP_PahariEiJ_G0026205
rattus_norvegicus ENSRNOG00000024693
meriones_unguiculatus ENSMUGG00000016341
