anabas_testudineus ENSATEG00000001818
labrus_bergylta ENSLBEG00000022012
seriola_dumerili ENSSDUG00000023611
seriola_lalandi ENSSLDG00000018667
scophthalmus_maximus ENSSMAG00000008884
larimichthys_crocea ENSLCRG00005007680
larimichthys_crocea ENSLCRG00005002073
mastacembelus_armatus ENSMAMG00000010481
monopterus_albus ENSMALG00000011356
amphiprion_percula ENSAPEG00000008932
amphiprion_ocellaris ENSAOCG00000024231
acanthochromis_polyacanthus ENSAPOG00000013748
stegastes_partitus ENSSPAG00000012779
parambassis_ranga ENSPRNG00000015024
fundulus_heteroclitus ENSFHEG00000002179
cyprinodon_variegatus ENSCVAG00000004566
xiphophorus_maculatus ENSXMAG00000001168
xiphophorus_couchianus ENSXCOG00000017529
gambusia_affinis ENSGAFG00000006765
poecilia_formosa ENSPFOG00000018826
poecilia_mexicana ENSPMEG00000007282
poecilia_latipinna ENSPLAG00000016613
poecilia_reticulata ENSPREG00000015501
kryptolebias_marmoratus ENSKMAG00000016156
oryzias_latipes ENSORLG00020017451
oryzias_latipes ENSORLG00015004116
oryzias_latipes ENSORLG00000024863
oryzias_melastigma ENSOMEG00000023083
haplochromis_burtoni ENSHBUG00000010803
pundamilia_nyererei ENSPNYG00000023918
amphilophus_citrinellus ENSACIG00000013181
periophthalmus_magnuspinnatus ENSPMGG00000017337
hucho_hucho ENSHHUG00000026896
hucho_hucho ENSHHUG00000000363
esox_lucius ENSELUG00000024202
denticeps_clupeoides ENSDCDG00000002428
denticeps_clupeoides ENSDCDG00000032098
astyanax_mexicanus ENSAMXG00005003357
