cottoperca_gobio ENSCGOG00000005500
gasterosteus_aculeatus ENSGACG00000004022
labrus_bergylta ENSLBEG00000009279
labrus_bergylta ENSLBEG00000017281
monopterus_albus ENSMALG00000020422
mastacembelus_armatus ENSMAMG00000004804
seriola_dumerili ENSSDUG00000007461
scophthalmus_maximus ENSSMAG00000011526
lates_calcarifer ENSLCAG00010023651
larimichthys_crocea ENSLCRG00005022824
anabas_testudineus ENSATEG00000004721
betta_splendens ENSBSLG00000002920
cynoglossus_semilaevis ENSCSEG00000000534
oryzias_latipes ENSORLG00015009969
oryzias_latipes ENSORLG00000010806
oryzias_latipes ENSORLG00020010048
oryzias_melastigma ENSOMEG00000000079
kryptolebias_marmoratus ENSKMAG00000013490
xiphophorus_maculatus ENSXMAG00000002311
gambusia_affinis ENSGAFG00000002825
poecilia_latipinna ENSPLAG00000021863
poecilia_formosa ENSPFOG00000016521
poecilia_mexicana ENSPMEG00000022316
poecilia_reticulata ENSPREG00000008339
cyprinodon_variegatus ENSCVAG00000006956
fundulus_heteroclitus ENSFHEG00000014630
amphiprion_percula ENSAPEG00000015349
amphiprion_ocellaris ENSAOCG00000020395
acanthochromis_polyacanthus ENSAPOG00000015671
stegastes_partitus ENSSPAG00000012308
parambassis_ranga ENSPRNG00000022837
maylandia_zebra ENSMZEG00005000932
astatotilapia_calliptera ENSACLG00000000727
haplochromis_burtoni ENSHBUG00000008982
neolamprologus_brichardi ENSNBRG00000015918
oreochromis_niloticus ENSONIG00000006024
amphilophus_citrinellus ENSACIG00000016725
pundamilia_nyererei ENSPNYG00000000610
gouania_willdenowi ENSGWIG00000022723
hippocampus_comes ENSHCOG00000007877
hippocampus_comes ENSHCOG00000010911
takifugu_rubripes ENSTRUG00000008663
tetraodon_nigroviridis ENSTNIG00000005849
mola_mola ENSMMOG00000004270
larimichthys_crocea ENSLCRG00005001677
seriola_lalandi ENSSLDG00000021437
seriola_lalandi ENSSLDG00000009792
gadus_morhua ENSGMOG00000002509
hucho_hucho ENSHHUG00000030094
denticeps_clupeoides ENSDCDG00000003602
clupea_harengus ENSCHAG00000017620
astyanax_mexicanus ENSAMXG00005017975
astyanax_mexicanus ENSAMXG00000036220
pygocentrus_nattereri ENSPNAG00000010219
electrophorus_electricus ENSEEEG00000007837
ictalurus_punctatus ENSIPUG00000003309
danio_rerio ENSDARG00000007418
scleropages_formosus ENSSFOG00015002388
paramormyrops_kingsleyae ENSPKIG00000016972
lepisosteus_oculatus ENSLOCG00000011903
erpetoichthys_calabaricus ENSECRG00000003961
pogona_vitticeps ENSPVIG00000024046
anolis_carolinensis ENSACAG00000013793
salvator_merianae ENSSMRG00000010922
sphenodon_punctatus ENSSPUG00000009146
anser_brachyrhynchus ENSABRG00000008316
anas_platyrhynchos ENSAPLG00000029536
gallus_gallus ENSGALG00000043573
coturnix_japonica ENSCJPG00005000054
meleagris_gallopavo ENSMGAG00000011679
numida_meleagris ENSNMEG00000017572
lonchura_striata ENSLSDG00000010510
taeniopygia_guttata ENSTGUG00000011678
serinus_canaria ENSSCAG00000002581
parus_major ENSPMJG00000005501
cyanistes_caeruleus ENSCCEG00000009736
ficedula_albicollis ENSFALG00000008640
junco_hyemalis ENSJHYG00000000394
zonotrichia_albicollis ENSZALG00000008948
lepidothrix_coronata ENSLCOG00000000460
manacus_vitellinus ENSMVIG00005015743
melopsittacus_undulatus ENSMUNG00000006255
calidris_pugnax ENSCPUG00000016030
calidris_pygmaea ENSCPGG00000000046
apteryx_haastii ENSAHAG00000017114
apteryx_rowi ENSARWG00000004860
apteryx_owenii ENSAOWG00000002623
nothoprocta_perdicaria ENSNPEG00000007231
dromaius_novaehollandiae ENSDNVG00000010941
crocodylus_porosus ENSCPRG00005000547
gopherus_agassizii ENSGAGG00000021310
chelonoidis_abingdonii ENSCABG00000016240
chrysemys_picta ENSCPBG00000008239
pelodiscus_sinensis ENSPSIG00000002415
vombatus_ursinus ENSVURG00010021628
vombatus_ursinus ENSVURG00010017375
phascolarctos_cinereus ENSPCIG00000024130
notamacropus_eugenii ENSMEUG00000010067
sarcophilus_harrisii ENSSHAG00000010727
monodelphis_domestica ENSMODG00000006220
procavia_capensis ENSPCAG00000015307
echinops_telfairi ENSETEG00000006504
loxodonta_africana ENSLAFG00000011673
ovis_aries ENSOARG00000014801
capra_hircus ENSCHIG00000006061
bos_indicus ENSBIXG00000015688
bos_indicus ENSBIXG00005027823
bos_taurus ENSBTAG00000004792
bos_mutus ENSBMUG00000026158
bison_bison ENSBBBG00000014880
myotis_lucifugus ENSMLUG00000000047
equus_asinus ENSEASG00005020622
equus_caballus ENSECAG00000022647
canis_lupus ENSCAFG00020020375
canis_lupus ENSCAFG00000008510
vulpes_vulpes ENSVVUG00000001148
choloepus_hoffmanni ENSCHOG00000005638
dasypus_novemcinctus ENSDNOG00000042087
ursus_americanus ENSUAMG00000017056
ursus_maritimus ENSUMAG00000015041
ailuropoda_melanoleuca ENSAMEG00000014495
neovison_vison ENSNVIG00000021868
mustela_putorius ENSMPUG00000001795
panthera_pardus ENSPPRG00000023967
panthera_tigris ENSPTIG00000018688
felis_catus ENSFCAG00000027266
sus_scrofa ENSSSCG00000025980
tursiops_truncatus ENSTTRG00000002766
vicugna_pacos ENSVPAG00000001148
propithecus_coquereli ENSPCOG00000021797
microcebus_murinus ENSMICG00000026865
prolemur_simus ENSPSMG00000009207
otolemur_garnettii ENSOGAG00000015006
rhinopithecus_bieti ENSRBIG00000034403
rhinopithecus_roxellana ENSRROG00000031691
colobus_angolensis ENSCANG00000033142
piliocolobus_tephrosceles ENSPTEG00000017887
macaca_nemestrina ENSMNEG00000035415
macaca_mulatta ENSMMUG00000002625
macaca_fascicularis ENSMFAG00000026066
cercocebus_atys ENSCATG00000043905
chlorocebus_sabaeus ENSCSAG00000013229
papio_anubis ENSPANG00000021865
mandrillus_leucophaeus ENSMLEG00000008670
theropithecus_gelada ENSTGEG00000024751
