geneTreeID,nbLeaves,NbSharedLeaves,AU_TreeBest,AU_Ensembl,AU_ReconstructEnsembl,AU_Isosel,TreeBestPassTest,EnsemblTreePassTest,ReconstructEnsemblTreePassTest,au_isosel_pass_test,TreeBestBetter,EnsemblBetter,ReconstructEnsemblBetter,REC_TreeBest,REC_Ensembl,REC_ReconstructEnsembl,RecIsosel,Treebest_REC_is_best,Ensembl_REC_is_best,Ensembl_REC_reconstruct_is_best,Isosel_REC_is_best
ENSGT00860000136165,6,100.0,0.459,0.542,0.459,0.459,1,1,1,1,0,1,0,4,4,4,4,0,0,0,0
ENSGT00940000158488,4,25.0,0.954,0.041,0.954,0.041,1,0,1,0,0,0,0,3,3,3,3,0,0,0,0
ENSGT00940000169600,3,66.67,0.438,0.509,0.695,0.438,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
ENSGT00940000163110,16,31.25,0.964,0.038,0.059,0.005,1,0,1,0,1,0,0,13,13,13,12,0,0,0,1
ENSGT00910000147248,9,100.0,0.59,0.646,0.59,0.59,1,1,1,1,0,1,0,6,6,6,6,0,0,0,0
ENSGT00390000004452,10,100.0,0.696,0.464,0.696,0.696,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
ENSGT00740000117046,5,100.0,0.997,0.004,0.997,0.997,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
ENSGT00480000043246,5,100.0,0.305,0.938,0.305,0.305,1,1,1,1,0,1,0,4,4,4,4,0,0,0,0
ENSGT00910000148238,8,100.0,0.311,0.696,0.311,0.311,1,1,1,1,0,1,0,6,6,6,6,0,0,0,0
ENSGT00940000162554,9,100.0,0.509,0.488,0.509,0.509,1,1,1,1,0,0,0,7,7,7,7,0,0,0,0
ENSGT00940000160433,8,100.0,0.804,0.018,0.804,0.804,1,0,1,1,0,0,0,5,5,5,5,0,0,0,0
ENSGT00940000159954,10,90.0,0.716,0.001,0.31,0.31,1,0,1,1,1,0,0,8,8,8,8,0,0,0,0
ENSGT00670000099476,3,100.0,0.499,0.496,0.499,0.499,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
ENSGT00940000172903,12,100.0,0.667,0.718,0.201,0.158,1,1,1,1,0,1,0,10,10,10,10,0,0,0,0
ENSGT00390000014590,6,83.33,0.521,0.412,0.521,0.521,1,1,1,1,0,0,0,3,3,3,3,0,0,0,0
ENSGT00390000005328,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
ENSGT00940000164149,28,92.86,9E-66,;0,000003;,5E-43,1E-97,0,0,0,0,0,1,0,18,18,21,20,0,0,0,0
ENSGT00940000157680,8,50.0,0.438,0.44,;0,000006;,0.579,1,1,0,1,0,0,0,2,3,2,3,0,0,0,0
ENSGT00860000135738,6,100.0,0.597,0.622,0.597,0.597,1,1,1,1,0,1,0,4,4,4,4,0,0,0,0
ENSGT00390000001511,3,66.67,0.463,0.491,0.491,0.463,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
ENSGT00940000161662,4,50.0,0.518,0.002,0.002,0.002,1,0,0,0,1,0,0,3,3,3,3,0,0,0,0
ENSGT00530000068397,5,60.0,0.617,0.673,0.164,0.617,1,1,1,1,0,1,0,4,4,4,4,0,0,0,0
ENSGT00940000171070,6,83.33,0.214,0.212,0.215,0.214,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
ENSGT00940000158809,6,100.0,1.0,;0,000003;,1.0,1.0,1,0,1,1,0,0,0,4,4,3,4,0,0,1,0
ENSGT00940000155294,16,44.44,0.539,0.376,9E-41,0.551,1,1,0,1,0,0,0,0,1,4,1,1,0,0,0
ENSGT00940000154633,3,66.67,0.531,0.469,0.531,0.531,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
ENSGT00940000158387,17,76.47,0.037,0.137,1E-11,0.693,0,1,0,1,0,0,0,9,8,9,11,0,1,0,0
ENSGT00390000004456,9,55.56,0.646,0.588,0.01,0.646,1,1,0,1,0,0,0,6,6,5,6,0,0,1,0
ENSGT00940000161156,5,100.0,0.695,0.553,0.695,0.695,1,1,1,1,0,0,0,4,4,4,4,0,0,0,0
ENSGT00940000178591,4,75.0,0.6,0.345,0.049,0.6,1,1,0,1,0,0,0,3,3,3,3,0,0,0,0
ENSGT00940000155594,15,33.33,0.45,0.553,5E-57,0.45,1,1,0,1,0,1,0,0,3,2,0,0,0,0,0
ENSGT00950000185540,6,100.0,0.529,0.481,0.529,0.529,1,1,1,1,0,0,0,4,4,3,4,0,0,1,0
ENSGT00910000148008,4,100.0,0.488,0.537,0.488,0.488,1,1,1,1,0,1,0,2,2,2,2,0,0,0,0
ENSGT00940000158046,15,86.67,0.636,0.53,0.152,0.636,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0
ENSGT00940000177470,3,100.0,0.473,0.527,0.473,0.473,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
ENSGT00940000162882,12,58.33,0.983,0.018,0.039,0.983,1,0,0,1,0,0,0,10,10,10,10,0,0,0,0
ENSGT00390000015236,3,100.0,0.497,0.48,0.497,0.497,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
ENSGT00940000155651,4,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0
ENSGT00940000161971,4,100.0,0.263,0.86,0.263,0.263,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0
ENSGT00910000147325,12,100.0,0.527,0.67,0.527,0.527,1,1,1,1,0,1,0,8,8,8,8,0,0,0,0
ENSGT00390000013727,3,100.0,0.476,0.491,0.476,0.476,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0
ENSGT00950000185758,6,83.33,0.507,0.74,0.52,0.507,1,1,1,1,0,1,0,4,4,4,4,0,0,0,0
ENSGT00910000147087,10,100.0,0.484,0.536,0.484,0.484,1,1,1,1,0,1,0,8,8,8,8,0,0,0,0
ENSGT00910000148088,6,100.0,7E-52,1.0,7E-52,7E-52,0,1,0,0,0,1,0,5,5,5,5,0,0,0,0
ENSGT00940000165652,9,100.0,0.837,0.257,0.837,0.837,1,1,1,1,0,0,0,3,3,4,3,0,0,0,0
