geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000169600,3,0.0,0.417,0.508,0.694,1,1,1,0,0,1,1,1,0,0,0,1
ENSGT00940000160433,8,-10.0,0.987,0.013,0.987,1,0,1,0,0,0,5,5,5,0,0,0
ENSGT00940000159954,10,0.0,0.113,0.0001,0.113,1,0,1,0,0,0,8,8,8,0,0,0
ENSGT00390000014590,6,0.0,0.56,0.44,4E-15,1,1,0,1,0,0,3,4,3,0,0,0
ENSGT00390000004040,8,50.0,0.921,0.193,0.192,1,1,1,1,0,0,2,2,1,0,0,1
ENSGT00940000158783,18,90.91,0.987,0.005,0.023,1,0,0,1,0,0,15,15,14,0,0,1
ENSGT00900000143393,17,-10.0,0.135,0.252,0.842,1,1,1,0,0,1,3,4,4,1,0,0
ENSGT00390000001511,3,50.0,0.427,0.521,0.521,1,1,1,0,0,0,1,0,0,0,0,0
ENSGT00940000155294,16,0.0,0.815,0.185,5E-42,1,1,0,1,0,0,0,2,4,1,0,0
ENSGT00940000177095,18,-10.0,0.767,0.251,0.001,1,1,0,1,0,0,8,8,9,0,0,0
ENSGT00940000158387,17,80.0,0.945,0.142,0.028,1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00950000185540,6,-10.0,0.575,0.581,0.575,1,1,1,0,1,0,4,4,3,0,0,1
ENSGT00940000158046,15,16.67,0.429,0.571,3E-11,1,1,0,0,1,0,0,1,3,1,0,0
ENSGT00940000162882,12,66.67,0.992,0.02,0.011,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00940000178019,6,-10.0,0.567,0.529,0.567,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000165652,9,-10.0,0.819,0.182,0.819,1,1,1,0,0,0,3,3,4,0,0,0
ENSGT00940000164774,9,-10.0,1.0,0.035,1.0,1,0,1,0,0,0,6,6,7,0,0,0
ENSGT00940000156549,8,0.0,0.25,0.574,0.666,1,1,1,0,0,1,4,5,5,1,0,0
ENSGT00860000135092,17,50.0,0.489,0.511,0.489,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00940000156022,3,100.0,0.503,0.488,0.503,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000169631,8,100.0,0.546,0.072,0.389,1,1,1,1,0,0,4,4,5,0,0,0
ENSGT00940000164045,5,0.0,0.406,0.814,0.444,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000156489,7,0.0,0.995,0.008,0.008,1,0,0,1,0,0,2,2,3,0,0,0
ENSGT00940000165675,5,0.0,0.618,0.506,0.012,1,1,0,1,0,0,2,3,1,0,0,1
ENSGT00910000147974,7,-10.0,0.608,0.548,0.608,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00940000158220,9,50.0,0.032,0.979,0.059,0,1,1,0,1,0,6,6,7,0,0,0
ENSGT00910000144335,11,-10.0,0.225,0.775,0.225,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00940000158362,4,0.0,0.132,0.629,0.132,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00950000182863,6,33.33,0.458,0.067,0.066,1,1,1,1,0,0,3,3,3,0,0,0
ENSGT00950000183203,15,22.22,0.472,0.528,"0,000009",1,1,0,0,1,0,11,10,11,0,1,0
ENSGT00940000178120,5,-10.0,0.502,0.49,0.502,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000010017,13,100.0,0.154,0.882,0.003,1,1,0,0,1,0,1,4,2,1,0,0
ENSGT00940000159007,6,-10.0,0.825,0.172,0.825,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00390000003628,9,83.33,0.023,0.57,0.56,0,1,1,0,1,0,1,1,1,0,0,0
ENSGT00510000048991,3,50.0,0.488,0.676,0.488,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00420000029792,3,66.67,0.496,0.481,0.496,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000156370,6,100.0,0.585,0.652,0.585,1,1,1,0,1,0,4,4,4,0,0,0
ENSGT00530000063255,4,100.0,0.483,0.491,0.483,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000172014,3,-10.0,0.703,0.508,0.703,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000161512,6,-10.0,0.654,0.16,0.654,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00940000167505,5,100.0,0.611,0.5,0.575,1,1,1,1,0,0,2,2,0,0,0,1
ENSGT00390000008744,16,100.0,0.967,0.033,0.967,1,0,1,0,0,0,2,2,3,0,0,0
ENSGT00390000006227,8,66.67,0.031,0.969,0.031,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000153472,9,0.0,0.913,0.04,0.913,1,0,1,0,0,0,4,4,2,0,0,1
ENSGT00940000158027,8,33.33,0.633,0.533,0.024,1,1,0,1,0,0,6,6,6,0,0,0
ENSGT00910000147528,7,-10.0,0.042,0.275,0.888,0,1,1,0,0,1,5,5,5,0,0,0
ENSGT00950000183248,6,-10.0,0.673,0.341,0.673,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000157805,7,100.0,0.545,0.542,0.545,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00390000007890,6,50.0,0.495,0.492,0.495,1,1,1,0,0,0,3,3,3,0,0,0
ENSGT00940000162075,15,-10.0,0.984,0.016,0.984,1,0,1,0,0,0,2,2,4,0,0,0
ENSGT00940000160970,4,50.0,0.475,0.5,"0,00001",1,1,0,0,1,0,1,1,1,0,0,0
ENSGT00940000174692,11,100.0,0.292,0.387,0.292,1,1,1,0,1,0,2,2,3,0,0,0
ENSGT00940000171677,5,0.0,0.499,0.503,0.0002,1,1,0,0,1,0,2,3,1,0,0,1
