geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000160433,8,-10.0,0.789,0.018,0.789,1,0,1,0,0,0,5,5,5,0,0,0
ENSGT00940000159954,10,100.0,0.719,0.0005,0.302,1,0,1,1,0,0,8,8,8,0,0,0
ENSGT00390000014590,6,33.33,0.571,0.254,0.565,1,1,1,1,0,0,3,3,3,0,0,0
ENSGT00390000004040,8,25.0,0.56,0.594,0.56,1,1,1,0,1,0,2,2,1,0,0,1
ENSGT00940000158783,18,63.64,0.826,0.174,1E-84,1,1,0,1,0,0,15,15,14,0,0,1
ENSGT00900000143393,17,-10.0,0.633,0.189,0.602,1,1,1,1,0,0,4,4,4,0,0,0
ENSGT00940000155294,16,33.33,0.47,0.53,2E-81,1,1,0,0,1,0,1,2,4,1,0,0
ENSGT00940000177095,18,-10.0,0.931,0.079,0.0003,1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00940000158387,17,80.0,0.583,0.395,0.017,1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00950000185540,6,-10.0,0.499,0.458,0.499,1,1,1,0,0,0,4,4,3,0,0,1
ENSGT00940000158046,15,50.0,0.688,0.46,0.081,1,1,1,1,0,0,0,1,3,1,0,0
ENSGT00940000162882,12,33.33,1.0,"0,00002",1E-101,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00940000178019,6,-10.0,0.445,0.439,0.445,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000165652,9,-10.0,0.845,0.241,0.845,1,1,1,0,0,0,3,3,4,0,0,0
ENSGT00940000164774,9,-10.0,0.999,0.034,0.999,1,0,1,0,0,0,6,6,7,0,0,0
ENSGT00940000156549,8,0.0,0.213,0.568,0.685,1,1,1,0,0,1,4,5,5,1,0,0
ENSGT00860000135092,17,0.0,0.142,0.143,0.86,1,1,1,0,0,1,0,2,2,1,0,0
ENSGT00950000183038,3,100.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,2,0,0,0
ENSGT00940000156022,3,100.0,0.48,0.496,0.48,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000169631,8,66.67,0.066,0.001,0.001,1,0,0,1,0,0,4,4,5,0,0,0
ENSGT00940000156489,7,33.33,0.903,0.174,0.175,1,1,1,1,0,0,2,2,3,0,0,0
ENSGT00940000165675,5,50.0,0.684,0.49,0.032,1,1,0,1,0,0,2,3,1,0,0,1
ENSGT00910000147974,7,-10.0,0.474,0.517,0.474,1,1,1,0,1,0,5,5,5,0,0,0
ENSGT00940000158220,9,0.0,0.015,0.991,0.0001,0,1,0,0,1,0,6,6,7,0,0,0
ENSGT00910000144335,11,-10.0,0.221,0.898,0.221,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00940000158362,4,33.33,0.095,0.679,0.574,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00950000182863,6,0.0,0.179,0.044,0.042,1,0,0,1,0,0,3,3,3,0,0,0
ENSGT00950000183203,15,22.22,0.916,0.084,"0,00000003",1,1,0,1,0,0,11,10,11,0,1,0
ENSGT00940000178120,5,-10.0,0.498,0.467,0.498,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000010017,13,0.0,0.148,0.888,0.003,1,1,0,0,1,0,1,4,2,1,0,0
ENSGT00940000159007,6,-10.0,0.775,0.153,0.775,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00510000048991,3,0.0,0.571,0.553,0.571,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00420000029792,3,66.67,0.487,0.513,0.487,1,1,1,0,1,0,1,1,0,0,0,1
