PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
COTURNIXJAPONICA	coturnix_japonica
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CALIDRISPUGNAX	calidris_pugnax
LONCHURASTRIATA	lonchura_striata
SERINUSCANARIA	serinus_canaria
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
MANACUSVITELLINUS	manacus_vitellinus
ANASPLATYRHYNCHOS	anas_platyrhynchos
APTERYXOWENII	apteryx_owenii
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
CROCODYLUSPOROSUS	crocodylus_porosus
CHRYSEMYSPICTA	chrysemys_picta
CHELONOIDISABINGDONII	chelonoidis_abingdonii
SALVATORMERIANAE	salvator_merianae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CALIDRISPYGMAEA	calidris_pygmaea
GOPHERUSAGASSIZII	gopherus_agassizii
SPHENODONPUNCTATUS	sphenodon_punctatus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
CASTORCANADENSIS	castor_canadensis
ICTALURUSPUNCTATUS	ictalurus_punctatus
