ENSACAT00000009329ENSACAG00000009345_ANOLISCAROLINENSIS	ENSACAT00000009329	ENSACAG00000009345	ANOLISCAROLINENSIS
ENSSPUT00000008592ENSSPUG00000006215_SPHENODONPUNCTATUS	ENSSPUT00000008592	ENSSPUG00000006215	SPHENODONPUNCTATUS
ENSSPUT00000008583ENSSPUG00000006215_SPHENODONPUNCTATUS	ENSSPUT00000008583	ENSSPUG00000006215	SPHENODONPUNCTATUS
ENSPTET00000006428ENSPTEG00000004844_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000006428	ENSPTEG00000004844	PILIOCOLOBUSTEPHROSCELES
ENSSPUT00000008558ENSSPUG00000006215_SPHENODONPUNCTATUS	ENSSPUT00000008558	ENSSPUG00000006215	SPHENODONPUNCTATUS
ENSPVIT00000042813ENSPVIG00000025549_POGONAVITTICEPS	ENSPVIT00000042813	ENSPVIG00000025549	POGONAVITTICEPS
ENSSMRT00000006937ENSSMRG00000004772_SALVATORMERIANAE	ENSSMRT00000006937	ENSSMRG00000004772	SALVATORMERIANAE
ENSNSUT00000013406ENSNSUG00000009426_NOTECHISSCUTATUS	ENSNSUT00000013406	ENSNSUG00000009426	NOTECHISSCUTATUS
ENSSMRT00000006935ENSSMRG00000004772_SALVATORMERIANAE	ENSSMRT00000006935	ENSSMRG00000004772	SALVATORMERIANAE
ENSPTET00000005783ENSPTEG00000004372_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000005783	ENSPTEG00000004372	PILIOCOLOBUSTEPHROSCELES
ENSPTET00000007204ENSPTEG00000005430_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000007204	ENSPTEG00000005430	PILIOCOLOBUSTEPHROSCELES
ENSPTET00000031306ENSPTEG00000022738_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000031306	ENSPTEG00000022738	PILIOCOLOBUSTEPHROSCELES
ENSPTET00000006257ENSPTEG00000004722_PILIOCOLOBUSTEPHROSCELES	ENSPTET00000006257	ENSPTEG00000004722	PILIOCOLOBUSTEPHROSCELES
