PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
THEROPITHECUSGELADA	theropithecus_gelada
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MACACANEMESTRINA	macaca_nemestrina
CERCOCEBUSATYS	cercocebus_atys
RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
COLOBUSANGOLENSIS	colobus_angolensis
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
TUPAIABELANGERI	tupaia_belangeri
OCHOTONAPRINCEPS	ochotona_princeps
BOSINDICUS	bos_indicus
BOSINDICUS	bos_indicus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISON	bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
PTEROPUSVAMPYRUS	pteropus_vampyrus
ERINACEUSEUROPAEUS	erinaceus_europaeus
EQUUSCABALLUS	equus_caballus
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
PROCAVIACAPENSIS	procavia_capensis
NOTAMACROPUSEUGENII	notamacropus_eugenii
CROCODYLUSPOROSUS	crocodylus_porosus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
POGONAVITTICEPS	pogona_vitticeps
SALVATORMERIANAE	salvator_merianae
XENOPUSTROPICALIS	xenopus_tropicalis
ECHINOPSTELFAIRI	echinops_telfairi
CALIDRISPUGNAX	calidris_pugnax
GADUSMORHUA	gadus_morhua
EQUUSASINUS	equus_asinus
CAPRAHIRCUS	capra_hircus
MUSTELAPUTORIUS	mustela_putorius
NEOVISONVISON	neovison_vison
URSUSAMERICANUS	ursus_americanus
VULPESVULPES	vulpes_vulpes
CANISLUPUS	canis_lupus
MYOTISLUCIFUGUS	myotis_lucifugus
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MUSMUSCULUS	mus_musculus
MUSCAROLI	mus_caroli
MUSSPICILEGUS	mus_spicilegus
MUSSPRETUS	mus_spretus
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
HETEROCEPHALUSGLABER	heterocephalus_glaber
HETEROCEPHALUSGLABER	heterocephalus_glaber
FUKOMYSDAMARENSIS	fukomys_damarensis
MARMOTAMARMOTA	marmota_marmota
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PONGOABELII	pongo_abelii
OTOLEMURGARNETTII	otolemur_garnettii
PANTHERATIGRIS	panthera_tigris
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
