AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
HIPPOCAMPUSCOMES	hippocampus_comes
TAKIFUGURUBRIPES	takifugu_rubripes
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
ELECTROPHORUSELECTRICUS	electrophorus_electricus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
NUMIDAMELEAGRIS	numida_meleagris
COTURNIXJAPONICA	coturnix_japonica
GOPHERUSAGASSIZII	gopherus_agassizii
CANISLUPUS	canis_lupus
CAPRAHIRCUS	capra_hircus
