PTEROPUSVAMPYRUS	pteropus_vampyrus
SOREXARANEUS	sorex_araneus
CASTORCANADENSIS	castor_canadensis
ECHINOPSTELFAIRI	echinops_telfairi
CRICETULUSGRISEUS	cricetulus_griseus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
SARCOPHILUSHARRISII	sarcophilus_harrisii
MYOTISLUCIFUGUS	myotis_lucifugus
MYOTISLUCIFUGUS	myotis_lucifugus
ERINACEUSEUROPAEUS	erinaceus_europaeus
CAVIAAPEREA	cavia_aperea
MUSSPICILEGUS	mus_spicilegus
UROCITELLUSPARRYII	urocitellus_parryii
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
CALIDRISPYGMAEA	calidris_pygmaea
JUNCOHYEMALIS	junco_hyemalis
ANASPLATYRHYNCHOS	anas_platyrhynchos
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CALIDRISPYGMAEA	calidris_pygmaea
SPHENODONPUNCTATUS	sphenodon_punctatus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
GOPHERUSAGASSIZII	gopherus_agassizii
NOTAMACROPUSEUGENII	notamacropus_eugenii
CYANISTESCAERULEUS	cyanistes_caeruleus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
JUNCOHYEMALIS	junco_hyemalis
XENOPUSTROPICALIS	xenopus_tropicalis
TAKIFUGURUBRIPES	takifugu_rubripes
LARIMICHTHYSCROCEA	larimichthys_crocea
ICTALURUSPUNCTATUS	ictalurus_punctatus
EPTATRETUSBURGERI	eptatretus_burgeri
DROSOPHILAMELANOGASTER	drosophila_melanogaster
