SPHENODONPUNCTATUS	sphenodon_punctatus
POGONAVITTICEPS	pogona_vitticeps
CASTORCANADENSIS	castor_canadensis
MERIONESUNGUICULATUS	meriones_unguiculatus
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
URSUSAMERICANUS	ursus_americanus
MUSTELAPUTORIUS	mustela_putorius
PTEROPUSVAMPYRUS	pteropus_vampyrus
ERINACEUSEUROPAEUS	erinaceus_europaeus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
XENOPUSTROPICALIS	xenopus_tropicalis
CAENORHABDITISELEGANS	caenorhabditis_elegans
