PROLEMURSIMUS	prolemur_simus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MERIONESUNGUICULATUS	meriones_unguiculatus
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
URSUSAMERICANUS	ursus_americanus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
SPHENODONPUNCTATUS	sphenodon_punctatus
NOTECHISSCUTATUS	notechis_scutatus
NUMIDAMELEAGRIS	numida_meleagris
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
HAPLOCHROMISBURTONI	haplochromis_burtoni
ORYZIASMELASTIGMA	oryzias_melastigma
STEGASTESPARTITUS	stegastes_partitus
ELECTROPHORUSELECTRICUS	electrophorus_electricus
