ENSVPAT00000010230ENSVPAG00000010230_VICUGNAPACOS	ENSVPAT00000010230	ENSVPAG00000010230	VICUGNAPACOS
ENSEBUT00000006494ENSEBUG00000004025_EPTATRETUSBURGERI	ENSEBUT00000006494	ENSEBUG00000004025	EPTATRETUSBURGERI
ENSCHIT00000024705ENSCHIG00000016961_CAPRAHIRCUS	ENSCHIT00000024705	ENSCHIG00000016961	CAPRAHIRCUS
ENSTTRT00000009051ENSTTRG00000009010_TURSIOPSTRUNCATUS	ENSTTRT00000009051	ENSTTRG00000009010	TURSIOPSTRUNCATUS
ENSEBUT00000006554ENSEBUG00000004025_EPTATRETUSBURGERI	ENSEBUT00000006554	ENSEBUG00000004025	EPTATRETUSBURGERI
ENSEBUT00000006466ENSEBUG00000004025_EPTATRETUSBURGERI	ENSEBUT00000006466	ENSEBUG00000004025	EPTATRETUSBURGERI
ENSCHIT00000024688ENSCHIG00000016961_CAPRAHIRCUS	ENSCHIT00000024688	ENSCHIG00000016961	CAPRAHIRCUS
ENSSSCT00000029915ENSSSCG00000028748_SUSSCROFA	ENSSSCT00000029915	ENSSSCG00000028748	SUSSCROFA
ENSSSCT00000083027ENSSSCG00000028748_SUSSCROFA	ENSSSCT00000083027	ENSSSCG00000028748	SUSSCROFA
ENSOART00000007119ENSOARG00000006547_OVISARIES	ENSOART00000007119	ENSOARG00000006547	OVISARIES
ENSEBUT00000006526ENSEBUG00000004025_EPTATRETUSBURGERI	ENSEBUT00000006526	ENSEBUG00000004025	EPTATRETUSBURGERI
