NANNOSPALAXGALILI	nannospalax_galili
MERIONESUNGUICULATUS	meriones_unguiculatus
JACULUSJACULUS	jaculus_jaculus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
FUKOMYSDAMARENSIS	fukomys_damarensis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PONGOABELII	pongo_abelii
AOTUSNANCYMAAE	aotus_nancymaae
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
CARLITOSYRICHTA	carlito_syrichta
PANTHERATIGRIS	panthera_tigris
NEOVISONVISON	neovison_vison
ERINACEUSEUROPAEUS	erinaceus_europaeus
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
