PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
VOMBATUSURSINUS	vombatus_ursinus
SARCOPHILUSHARRISII	sarcophilus_harrisii
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MUSSPRETUS	mus_spretus
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTA	marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSIS	colobus_angolensis
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
MACACANEMESTRINA	macaca_nemestrina
MACACAFASCICULARIS	macaca_fascicularis
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CALLITHRIXJACCHUS	callithrix_jacchus
OTOLEMURGARNETTII	otolemur_garnettii
NEOVISONVISON	neovison_vison
MUSTELAPUTORIUS	mustela_putorius
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
VULPESVULPES	vulpes_vulpes
CANISLUPUS	canis_lupus
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRIS	panthera_tigris
FELISCATUS	felis_catus
BOSINDICUS	bos_indicus
BOSINDICUS	bos_indicus
BOSTAURUS	bos_taurus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
SUSSCROFA	sus_scrofa
EQUUSASINUS	equus_asinus
URSUSAMERICANUS	ursus_americanus
BOSMUTUS	bos_mutus
EQUUSCABALLUS	equus_caballus
URSUSMARITIMUS	ursus_maritimus
ERINACEUSEUROPAEUS	erinaceus_europaeus
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
FUKOMYSDAMARENSIS	fukomys_damarensis
DIPODOMYSORDII	dipodomys_ordii
MICROCEBUSMURINUS	microcebus_murinus
TUPAIABELANGERI	tupaia_belangeri
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PROLEMURSIMUS	prolemur_simus
MYOTISLUCIFUGUS	myotis_lucifugus
PROCAVIACAPENSIS	procavia_capensis
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
CHRYSEMYSPICTA	chrysemys_picta
PELODISCUSSINENSIS	pelodiscus_sinensis
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
SALVATORMERIANAE	salvator_merianae
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
SERINUSCANARIA	serinus_canaria
CYANISTESCAERULEUS	cyanistes_caeruleus
FICEDULAALBICOLLIS	ficedula_albicollis
LONCHURASTRIATA	lonchura_striata
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
APTERYXROWI	apteryx_rowi
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
NUMIDAMELEAGRIS	numida_meleagris
COTURNIXJAPONICA	coturnix_japonica
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
SALVATORMERIANAE	salvator_merianae
