ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
GOPHERUSAGASSIZII	gopherus_agassizii
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTA	chrysemys_picta
PELODISCUSSINENSIS	pelodiscus_sinensis
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
FICEDULAALBICOLLIS	ficedula_albicollis
SERINUSCANARIA	serinus_canaria
JUNCOHYEMALIS	junco_hyemalis
LONCHURASTRIATA	lonchura_striata
TAENIOPYGIAGUTTATA	taeniopygia_guttata
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MANACUSVITELLINUS	manacus_vitellinus
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
MANACUSVITELLINUS	manacus_vitellinus
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOS	anas_platyrhynchos
COTURNIXJAPONICA	coturnix_japonica
MELEAGRISGALLOPAVO	meleagris_gallopavo
GALLUSGALLUS	gallus_gallus
NUMIDAMELEAGRIS	numida_meleagris
APTERYXROWI	apteryx_rowi
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MICROTUSOCHROGASTER	microtus_ochrogaster
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MESOCRICETUSAURATUS	mesocricetus_auratus
MUSSPICILEGUS	mus_spicilegus
MUSSPRETUS	mus_spretus
MUSMUSCULUS	mus_musculus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
OCTODONDEGUS	octodon_degus
CHINCHILLALANIGERA	chinchilla_lanigera
HETEROCEPHALUSGLABER	heterocephalus_glaber
HETEROCEPHALUSGLABER	heterocephalus_glaber
FUKOMYSDAMARENSIS	fukomys_damarensis
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
MARMOTAMARMOTA	marmota_marmota
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSIS	colobus_angolensis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MACACANEMESTRINA	macaca_nemestrina
CERCOCEBUSATYS	cercocebus_atys
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
PROPITHECUSCOQUERELI	propithecus_coquereli
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
MYOTISLUCIFUGUS	myotis_lucifugus
PTEROPUSVAMPYRUS	pteropus_vampyrus
EQUUSCABALLUS	equus_caballus
EQUUSASINUS	equus_asinus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISON	bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
ERINACEUSEUROPAEUS	erinaceus_europaeus
SOREXARANEUS	sorex_araneus
