ENSFALT00000010443ENSFALG00000009972_FICEDULAALBICOLLIS	ENSFALT00000010443	ENSFALG00000009972	FICEDULAALBICOLLIS
FBtr0300825FBgn0039727_DROSOPHILAMELANOGASTER	FBtr0300825	FBgn0039727	DROSOPHILAMELANOGASTER
ENSTGUT00000002583ENSTGUG00000002472_TAENIOPYGIAGUTTATA	ENSTGUT00000002583	ENSTGUG00000002472	TAENIOPYGIAGUTTATA
ENSCINT00000035877ENSCING00000019204_CIONAINTESTINALIS	ENSCINT00000035877	ENSCING00000019204	CIONAINTESTINALIS
C25H3.11c.1WBGene00016120_CAENORHABDITISELEGANS	C25H3.11c.1	WBGene00016120	CAENORHABDITISELEGANS
ENSPMJT00000017886ENSPMJG00000009438_PARUSMAJOR	ENSPMJT00000017886	ENSPMJG00000009438	PARUSMAJOR
ENSPMJT00000017885ENSPMJG00000009438_PARUSMAJOR	ENSPMJT00000017885	ENSPMJG00000009438	PARUSMAJOR
ENSPMJT00000017884ENSPMJG00000009438_PARUSMAJOR	ENSPMJT00000017884	ENSPMJG00000009438	PARUSMAJOR
ENSCCET00000009150ENSCCEG00000000359_CYANISTESCAERULEUS	ENSCCET00000009150	ENSCCEG00000000359	CYANISTESCAERULEUS
ENSPMJT00000017903ENSPMJG00000009438_PARUSMAJOR	ENSPMJT00000017903	ENSPMJG00000009438	PARUSMAJOR
ENSCCET00000009175ENSCCEG00000000359_CYANISTESCAERULEUS	ENSCCET00000009175	ENSCCEG00000000359	CYANISTESCAERULEUS
ENSEBUT00000019006ENSEBUG00000011505_EPTATRETUSBURGERI	ENSEBUT00000019006	ENSEBUG00000011505	EPTATRETUSBURGERI
ENSTGUT00000002581ENSTGUG00000002472_TAENIOPYGIAGUTTATA	ENSTGUT00000002581	ENSTGUG00000002472	TAENIOPYGIAGUTTATA
FBtr0085505FBgn0039727_DROSOPHILAMELANOGASTER	FBtr0085505	FBgn0039727	DROSOPHILAMELANOGASTER
C25H3.11d.1WBGene00016120_CAENORHABDITISELEGANS	C25H3.11d.1	WBGene00016120	CAENORHABDITISELEGANS
ENSCCET00000009147ENSCCEG00000000359_CYANISTESCAERULEUS	ENSCCET00000009147	ENSCCEG00000000359	CYANISTESCAERULEUS
C25H3.11b.1WBGene00016120_CAENORHABDITISELEGANS	C25H3.11b.1	WBGene00016120	CAENORHABDITISELEGANS
C25H3.11a.1WBGene00016120_CAENORHABDITISELEGANS	C25H3.11a.1	WBGene00016120	CAENORHABDITISELEGANS
ENSCCET00000009091ENSCCEG00000000359_CYANISTESCAERULEUS	ENSCCET00000009091	ENSCCEG00000000359	CYANISTESCAERULEUS
ENSCSAVT00000014655ENSCSAVG00000008482_CIONASAVIGNYI	ENSCSAVT00000014655	ENSCSAVG00000008482	CIONASAVIGNYI
