ENSDORT00000009476ENSDORG00000009476_DIPODOMYSORDII	ENSDORT00000009476	ENSDORG00000009476	DIPODOMYSORDII
ENSPSMT00000026045ENSPSMG00000015830_PROLEMURSIMUS	ENSPSMT00000026045	ENSPSMG00000015830	PROLEMURSIMUS
ENSPSMT00000026042ENSPSMG00000015830_PROLEMURSIMUS	ENSPSMT00000026042	ENSPSMG00000015830	PROLEMURSIMUS
ENSPSMT00000026040ENSPSMG00000015830_PROLEMURSIMUS	ENSPSMT00000026040	ENSPSMG00000015830	PROLEMURSIMUS
ENSCCNT00000032873ENSCCNG00000025191_CASTORCANADENSIS	ENSCCNT00000032873	ENSCCNG00000025191	CASTORCANADENSIS
ENSPCOT00000042274ENSPCOG00000028419_PROPITHECUSCOQUERELI	ENSPCOT00000042274	ENSPCOG00000028419	PROPITHECUSCOQUERELI
ENSPCOT00000042272ENSPCOG00000028419_PROPITHECUSCOQUERELI	ENSPCOT00000042272	ENSPCOG00000028419	PROPITHECUSCOQUERELI
ENSMOCT00000018476ENSMOCG00000014137_MICROTUSOCHROGASTER	ENSMOCT00000018476	ENSMOCG00000014137	MICROTUSOCHROGASTER
ENSPCOT00000042273ENSPCOG00000028419_PROPITHECUSCOQUERELI	ENSPCOT00000042273	ENSPCOG00000028419	PROPITHECUSCOQUERELI
ENSOGAT00000004860ENSOGAG00000004858_OTOLEMURGARNETTII	ENSOGAT00000004860	ENSOGAG00000004858	OTOLEMURGARNETTII
ENSMICT00000052870ENSMICG00000013086_MICROCEBUSMURINUS	ENSMICT00000052870	ENSMICG00000013086	MICROCEBUSMURINUS
ENSMICT00000042176ENSMICG00000013086_MICROCEBUSMURINUS	ENSMICT00000042176	ENSMICG00000013086	MICROCEBUSMURINUS
ENSPSMT00000026051ENSPSMG00000015830_PROLEMURSIMUS	ENSPSMT00000026051	ENSPSMG00000015830	PROLEMURSIMUS
ENSMICT00000013077ENSMICG00000013086_MICROCEBUSMURINUS	ENSMICT00000013077	ENSMICG00000013086	MICROCEBUSMURINUS
