ENSELUT00000019698 ENSELUG00000001696
ENSMALT00000015184 ENSMALG00000010446
ENSHBUT00000005730 ENSHBUG00000007572
ENSMALT00000006971 ENSMALG00000004868
ENSORLT00000029415 ENSORLG00000024839
ENSPNYT00000003834 ENSPNYG00000002924
ENSPNYT00000003841 ENSPNYG00000002924
ENSGWIT00000029454 ENSGWIG00000014147
ENSGWIT00000029455 ENSGWIG00000014147
ENSGWIT00000029458 ENSGWIG00000014147
ENSMAMT00000024001 ENSMAMG00000015753
ENSATET00000002141 ENSATEG00000001520
ENSATET00000002155 ENSATEG00000001520
ENSLCAT00010014090 ENSLCAG00010006558
ENSLBET00000024235 ENSLBEG00000017662
ENSIPUT00000004246 ENSIPUG00000002867
ENSPKIT00000014576 ENSPKIG00000013304
ENSLOCT00000004310 ENSLOCG00000003631
ENSECRT00000034308 ENSECRG00000022734
ENSECRT00000034314 ENSECRG00000022734
ENSEBUT00000008988 ENSEBUG00000005491
ENSPTET00000024393 ENSPTEG00000018066
ENSPTET00000012414 ENSPTEG00000009256
C04E6.5.1 WBGene00015422
YIL156W_mRNA YIL156W
