ENSACAT00000008165 ENSACAG00000008176
ENSAOWT00000025160 ENSAOWG00000015018
ENSAOWT00000025162 ENSAOWG00000015018
ENSAOWT00000025165 ENSAOWG00000015018
ENSAOWT00000025171 ENSAOWG00000015018
ENSAHAT00000024652 ENSAHAG00000015685
ENSAHAT00000024656 ENSAHAG00000015685
ENSAHAT00000024659 ENSAHAG00000015685
ENSAHAT00000024661 ENSAHAG00000015685
ENSARWT00000024828 ENSARWG00000014942
ENSARWT00000024829 ENSARWG00000014942
ENSDNVT00000027371 ENSDNVG00000015775
ENSDNVT00000027376 ENSDNVG00000015775
ENSDNVT00000027384 ENSDNVG00000015775
ENSNPET00000005629 ENSNPEG00000004130
ENSNPET00000005632 ENSNPEG00000004130
ENSMGAT00000013266 ENSMGAG00000011791
ENSMGAT00000020258 ENSMGAG00000011791
ENSGALT00000093867 ENSGALG00000014371
ENSGALT00000006738 ENSGALG00000014371
ENSGALT00000023217 ENSGALG00000014371
ENSGALT00000102541 ENSGALG00000014371
ENSGALT00000054374 ENSGALG00000014371
ENSCJPT00005034532 ENSCJPG00005019927
ENSNMET00000029018 ENSNMEG00000017086
ENSNMET00000029019 ENSNMEG00000017086
ENSNMET00000029020 ENSNMEG00000017086
