ENSSCAT00000021520 ENSSCAG00000013910
ENSTGUT00000011679 ENSTGUG00000011205
ENSFALT00000005775 ENSFALG00000005522
ENSJHYT00000006427 ENSJHYG00000004286
ENSZALT00000011090 ENSZALG00000006884
ENSPMJT00000026186 ENSPMJG00000014984
ENSPMJT00000026187 ENSPMJG00000014984
ENSCCET00000018130 ENSCCEG00000011318
ENSMVIT00005016654 ENSMVIG00005010611
ENSLCOT00000017809 ENSLCOG00000011976
ENSCPGT00000023795 ENSCPGG00000015154
ENSCPUT00000027032 ENSCPUG00000015579
ENSCPUT00000027033 ENSCPUG00000015579
ENSGALT00000015102 ENSGALG00000009282
ENSMGAT00000013098 ENSMGAG00000011652
ENSNMET00000034141 ENSNMEG00000019950
ENSMUNT00000000890 ENSMUNG00000000707
ENSNPET00000003742 ENSNPEG00000002804
ENSCPRT00005030914 ENSCPRG00005018346
ENSCPRT00005030916 ENSCPRG00005018346
ENSGAGT00000007975 ENSGAGG00000005543
ENSGAGT00000007980 ENSGAGG00000005543
ENSGAGT00000007982 ENSGAGG00000005543
ENSCABT00000003559 ENSCABG00000002509
ENSCABT00000003560 ENSCABG00000002509
