ENSCSAVT00000010583 ENSCSAVG00000006153
ENSCINT00000026252 ENSCING00000014359
ENSCINT00000013736 ENSCING00000006699
ENSCINT00000026954 ENSCING00000014873
ENSCINT00000015655 ENSCING00000007638
ENSCINT00000031982 ENSCING00000018766
ENSECRT00000008108 ENSECRG00000005320
ENSECRT00000008121 ENSECRG00000005320
ENSCINT00000003856 ENSCING00000012891
ENSCSAVT00000002466 ENSCSAVG00000001425
ENSCINT00000023185 ENSCING00000012237
ENSCSAVT00000002009 ENSCSAVG00000001151
ENSCSAVT00000002010 ENSCSAVG00000001151
ENSCINT00000020209 ENSCING00000010089
ENSCSAVT00000010927 ENSCSAVG00000006335
ENSCSAVT00000010928 ENSCSAVG00000006335
ENSCSAVT00000005267 ENSCSAVG00000003098
ENSCINT00000028559 ENSCING00000016291
ENSCINT00000034166 ENSCING00000020704
ENSOMET00000014957 ENSOMEG00000001899
ENSOMET00000014976 ENSOMEG00000001899
ENSBSLT00000044489 ENSBSLG00000019481
ENSBSLT00000044526 ENSBSLG00000019481
ENSBSLT00000044542 ENSBSLG00000019481
ENSEBUT00000019432 ENSEBUG00000011761
ENSEBUT00000019460 ENSEBUG00000011761
ENSLCRT00005064087 ENSLCRG00005023139
ENSLCRT00005064090 ENSLCRG00005023139
ENSGACT00000025764 ENSGACG00000019451
ENSAPET00000029547 ENSAPEG00000020462
ENSAOCT00000029536 ENSAOCG00000013831
ENSAPOT00000007405 ENSAPOG00000007764
ENSGWIT00000050826 ENSGWIG00000023162
ENSXMAT00000022918 ENSXMAG00000026339
ENSXMAT00000033473 ENSXMAG00000026339
ENSXMAT00000042136 ENSXMAG00000026339
ENSGAFT00000009055 ENSGAFG00000006092
ENSGAFT00000009068 ENSGAFG00000006092
ENSPLAT00000005913 ENSPLAG00000008811
ENSPMET00000030441 ENSPMEG00000023927
ENSFHET00000021174 ENSFHEG00000015105
