ENSPTET00000006017 ENSPTEG00000004545
ENSPTET00000009381 ENSPTEG00000007035
ENSCPRT00005010581 ENSCPRG00005006409
ENSCPRT00005010583 ENSCPRG00005006409
ENSCPRT00005010586 ENSCPRG00005006409
F35H10.4.1 WBGene00006914
F35H10.4.2 WBGene00006914
F35H10.4.3 WBGene00006914
C26H9A.1a.1 WBGene00006916
C26H9A.1b.1 WBGene00006916
C26H9A.1c.1 WBGene00006916
VW02B12L.1.1 WBGene00006915
VW02B12L.1.2 WBGene00006915
ZK637.8a.1 WBGene00006768
ZK637.8b.1 WBGene00006768
ZK637.8c.1 WBGene00006768
ZK637.8d.1 WBGene00006768
ZK637.8e.1 WBGene00006768
ZK637.8f.1 WBGene00006768
ENSCSAVT00000017036 ENSCSAVG00000009909
ENSCSAVT00000017039 ENSCSAVG00000009909
ENSCSAVT00000017040 ENSCSAVG00000009909
ENSCSAVT00000017097 ENSCSAVG00000009946
ENSCSAVT00000016659 ENSCSAVG00000009695
ENSCSAVT00000016660 ENSCSAVG00000009695
ENSCSAVT00000016663 ENSCSAVG00000009695
ENSCINT00000018032 ENSCING00000008860
ENSPMAT00000007554 ENSPMAG00000006824
ENSPMAT00000000408 ENSPMAG00000000336
ENSEBUT00000001361 ENSEBUG00000001002
ENSPKIT00000022464 ENSPKIG00000017986
ENSDCDT00000055606 ENSDCDG00000028097
ENSDCDT00000055608 ENSDCDG00000028097
ENSDCDT00000055609 ENSDCDG00000028097
ENSDCDT00000055610 ENSDCDG00000028097
ENSDCDT00000055613 ENSDCDG00000028097
ENSDCDT00000055614 ENSDCDG00000028097
ENSDCDT00000055617 ENSDCDG00000028097
ENSDCDT00000055619 ENSDCDG00000028097
ENSPNAT00000038973 ENSPNAG00000024829
ENSHHUT00000040221 ENSHHUG00000024104
ENSHHUT00000040225 ENSHHUG00000024120
ENSHHUT00000040246 ENSHHUG00000024120
ENSELUT00000027569 ENSELUG00000017478
ENSAMXT00000000522 ENSAMXG00000000517
