ENSHHUT00000010808 ENSHHUG00000006408
ENSHHUT00000031541 ENSHHUG00000019284
ENSELUT00000004063 ENSELUG00000009880
ENSELUT00000004077 ENSELUG00000009880
ENSAPET00000024652 ENSAPEG00000017079
ENSAOCT00000030648 ENSAOCG00000016965
ENSAPOT00000031593 ENSAPOG00000013940
ENSSPAT00000030026 ENSSPAG00000022213
ENSPRNT00000056289 ENSPRNG00000025146
ENSACLT00000009793 ENSACLG00000006529
ENSMZET00005005227 ENSMZEG00005003887
ENSPNYT00000013847 ENSPNYG00000010246
ENSHBUT00000035949 ENSHBUG00000022757
ENSNBRT00000014371 ENSNBRG00000010805
ENSONIT00000012059 ENSONIG00000009590
ENSACIT00000030584 ENSACIG00000023075
ENSXCOT00000016181 ENSXCOG00000012070
ENSXMAT00000013796 ENSXMAG00000013752
ENSGAFT00000012974 ENSGAFG00000008685
ENSPFOT00000006642 ENSPFOG00000006699
ENSPMET00000009701 ENSPMEG00000005326
ENSPLAT00000024447 ENSPLAG00000019716
ENSPRET00000032106 ENSPREG00000021501
ENSFHET00000009546 ENSFHEG00000004940
ENSCVAT00000011227 ENSCVAG00000003868
ENSKMAT00000027490 ENSKMAG00000020132
