ENSCINT00000012522 ENSCING00000006058
ENSCINT00000002184 ENSCING00000001160
ENSCSAVT00000011858 ENSCSAVG00000006873
ENSCINT00000031357 ENSCING00000018026
ENSCINT00000031816 ENSCING00000023469
ENSCSAVT00000001819 ENSCSAVG00000001040
ENSCINT00000024036 ENSCING00000012836
ENSCINT00000030527 ENSCING00000023331
ENSCINT00000035406 ENSCING00000018441
ENSCSAVT00000008387 ENSCSAVG00000004928
ENSCINT00000022066 ENSCING00000011415
ENSCSAVT00000015416 ENSCSAVG00000008945
ENSCSAVT00000010482 ENSCSAVG00000006096
ENSCSAVT00000010483 ENSCSAVG00000006096
ENSCINT00000002693 ENSCING00000001384
ENSCINT00000022226 ENSCING00000011527
ENSCINT00000030621 ENSCING00000017923
ENSCINT00000035423 ENSCING00000023741
ENSCINT00000037049 ENSCING00000024427
ENSCSAVT00000017200 ENSCSAVG00000010014
ENSCINT00000028760 ENSCING00000016460
ENSCSAVT00000005718 ENSCSAVG00000003361
ENSCSAVT00000010526 ENSCSAVG00000006131
ENSCSAVT00000010536 ENSCSAVG00000006135
ENSCINT00000005021 ENSCING00000002476
ENSCINT00000034689 ENSCING00000020293
ENSCINT00000002067 ENSCING00000001100
ENSCINT00000005339 ENSCING00000002624
ENSPSIT00000008733 ENSPSIG00000007939
ENSACAT00000001146 ENSACAG00000001227
ENSECRT00000032197 ENSECRG00000021364
ENSECRT00000004008 ENSECRG00000002697
ENSECRT00000004016 ENSECRG00000002697
ENSECRT00000004024 ENSECRG00000002697
ENSCMIT00000012833 ENSCMIG00000006365
ENSCMIT00000012838 ENSCMIG00000006367
ZK678.8.1 WBGene00044630
