ENSEEET00000050881 ENSEEEG00000023664
ENSPNAT00000003820 ENSPNAG00000002201
ENSDCDT00000017503 ENSDCDG00000009470
ENSHHUT00000042362 ENSHHUG00000025217
ENSHHUT00000024305 ENSHHUG00000014691
ENSHHUT00000024308 ENSHHUG00000014691
ENSELUT00000034488 ENSELUG00000022198
ENSELUT00000042642 ENSELUG00000022198
ENSLCRT00005066357 ENSLCRG00005023831
ENSCGOT00000041530 ENSCGOG00000017757
ENSCSET00000007843 ENSCSEG00000005001
ENSCSET00000007847 ENSCSEG00000005001
ENSCSET00000007850 ENSCSEG00000005001
ENSMAMT00000031789 ENSMAMG00000020872
ENSMALT00000031329 ENSMALG00000021273
ENSATET00000011724 ENSATEG00000008066
ENSBSLT00000002544 ENSBSLG00000001213
ENSBSLT00000002548 ENSBSLG00000001213
ENSLBET00000012723 ENSLBEG00000009287
ENSLBET00000012737 ENSLBEG00000009287
ENSLBET00000012761 ENSLBEG00000009287
ENSLBET00000012790 ENSLBEG00000009287
ENSLBET00000012818 ENSLBEG00000009287
ENSSDUT00000012158 ENSSDUG00000008688
