ENSMICT00000007507 ENSMICG00000007503
ENSPCOT00000030336 ENSPCOG00000021801
ENSPSMT00000042932 ENSPSMG00000025625
ENSNLET00000001778 ENSNLEG00000001420
ENSNLET00000038974 ENSNLEG00000001420
ENSPPYT00000010029 ENSPPYG00000008589
ENSPTRT00000017597 ENSPTRG00000009598
ENSPTRT00000082974 ENSPTRG00000009598
ENSPPAT00000050707 ENSPPAG00000037000
ENSPPAT00000050711 ENSPPAG00000037000
ENSGGOT00000023341 ENSGGOG00000026659
ENSGGOT00000063162 ENSGGOG00000026659
ENST00000344935 ENSG00000187959
ENST00000397671 ENSG00000187959
ENSRROT00000050864 ENSRROG00000037051
ENSRBIT00000034009 ENSRBIG00000029048
ENSRBIT00000034015 ENSRBIG00000029048
ENSRBIT00000034017 ENSRBIG00000029048
ENSRBIT00000034018 ENSRBIG00000029048
ENSPTET00000002222 ENSPTEG00000001682
