ENSAPOT00000009026 ENSAPOG00000006668
ENSSPAT00000005104 ENSSPAG00000003881
ENSPRNT00000007772 ENSPRNG00000004220
ENSMZET00005019192 ENSMZEG00005013960
ENSHBUT00000004700 ENSHBUG00000008247
ENSPNYT00000032832 ENSPNYG00000024205
ENSACLT00000017832 ENSACLG00000011896
ENSNBRT00000025770 ENSNBRG00000019196
ENSACIT00000027726 ENSACIG00000020940
ENSPRET00000006144 ENSPREG00000004220
ENSPFOT00000031773 ENSPFOG00000024028
ENSPFOT00000025488 ENSPFOG00000024028
ENSXMAT00000037623 ENSXMAG00000021427
ENSXMAT00000030810 ENSXMAG00000021427
ENSXMAT00000030886 ENSXMAG00000021427
ENSXCOT00000018788 ENSXCOG00000013968
ENSGAFT00000019936 ENSGAFG00000013350
ENSCVAT00000012078 ENSCVAG00000003286
ENSKMAT00000003799 ENSKMAG00000002846
ENSORLT00000034759 ENSORLG00000026667
