ENSLACT00000017649 ENSLACG00000015431
ENSLACT00000015990 ENSLACG00000013984
ENSLACT00000015991 ENSLACG00000013984
ENSVURT00010008305 ENSVURG00010005675
ENSPCIT00000038000 ENSPCIG00000022967
ENSPCIT00000065273 ENSPCIG00000022967
ENSMEUT00000001695 ENSMEUG00000001687
ENSMODT00000024539 ENSMODG00000019321
ENSPCAT00000006820 ENSPCAG00000006820
ENST00000397374 ENSG00000184545
ENST00000331588 ENSG00000184545
ENSPPYT00000003491 ENSPPYG00000002903
ENSNLET00000016909 ENSNLEG00000013284
ENSRBIT00000033919 ENSRBIG00000029004
