ENSAOCT00000007595 ENSAOCG00000008194
ENSAPET00000018704 ENSAPEG00000013020
ENSAPOT00000020766 ENSAPOG00000015496
ENSSPAT00000031596 ENSSPAG00000023317
ENSTRUT00000049746 ENSTRUG00000022248
ENSTRUT00000034211 ENSTRUG00000022248
ENSPNYT00000019011 ENSPNYG00000014016
ENSHBUT00000026493 ENSHBUG00000019720
ENSACLT00000037744 ENSACLG00000024968
ENSMZET00005027168 ENSMZEG00005019635
ENSNBRT00000030760 ENSNBRG00000022839
ENSONIT00000018810 ENSONIG00000014928
ENSACIT00000030691 ENSACIG00000023117
ENSPRNT00000039112 ENSPRNG00000018380
ENSORLT00000037502 ENSORLG00000009612
ENSORLT00000012053 ENSORLG00000009612
