ENSACAT00000002839 ENSACAG00000002830
ENSPVIT00000030535 ENSPVIG00000018613
ENSNSUT00000026534 ENSNSUG00000018011
ENSSMRT00000013811 ENSSMRG00000009300
ENSCJPT00005012432 ENSCJPG00005007345
ENSMGAT00000018348 ENSMGAG00000016597
ENSGALT00000007742 ENSGALG00000004849
ENSNMET00000036243 ENSNMEG00000021100
ENSNMET00000036244 ENSNMEG00000021100
ENSNMET00000036246 ENSNMEG00000021100
ENSABRT00000035664 ENSABRG00000021350
ENSCPUT00000007400 ENSCPUG00000004458
ENSCPUT00000007403 ENSCPUG00000004458
ENSCPUT00000007406 ENSCPUG00000004458
ENSCPGT00000028644 ENSCPGG00000018078
ENSMUNT00000024161 ENSMUNG00000016010
ENSLCOT00000015906 ENSLCOG00000010773
ENSMVIT00005026846 ENSMVIG00005016707
