ENSEBUT00000017484 ENSEBUG00000010593
ENSHCOT00000017429 ENSHCOG00000013588
ENSPMGT00000028780 ENSPMGG00000021804
ENSLBET00000013781 ENSLBEG00000010055
ENSLBET00000022952 ENSLBEG00000016719
ENSTRUT00000052750 ENSTRUG00000019743
ENSLCRT00005009815 ENSLCRG00005004411
ENSLCRT00005009834 ENSLCRG00005004411
ENSLCRT00005009836 ENSLCRG00005004411
ENSLCRT00005009842 ENSLCRG00005004411
ENSLCRT00005009843 ENSLCRG00005004411
ENSLCRT00005009859 ENSLCRG00005004411
ENSPFOT00000017180 ENSPFOG00000017023
ENSPLAT00000017098 ENSPLAG00000023984
ENSPMET00000017562 ENSPMEG00000012625
ENSPRET00000016665 ENSPREG00000011157
ENSPRET00000016709 ENSPREG00000011157
ENSXCOT00000019747 ENSXCOG00000014657
ENSXCOT00000019745 ENSXCOG00000014654
ENSXMAT00000015398 ENSXMAG00000015282
ENSGAFT00000024703 ENSGAFG00000016488
ENSGAFT00000024716 ENSGAFG00000016504
ENSCVAT00000005493 ENSCVAG00000007676
ENSFHET00000021572 ENSFHEG00000015503
ENSKMAT00000024474 ENSKMAG00000017891
ENSAOCT00000011249 ENSAOCG00000005752
ENSAOCT00000011284 ENSAOCG00000005752
ENSAPET00000007389 ENSAPEG00000005116
ENSAPOT00000025488 ENSAPOG00000019678
ENSPRNT00000008651 ENSPRNG00000004600
ENSPRNT00000008661 ENSPRNG00000004600
ENSSPAT00000006440 ENSSPAG00000004829
ENSORLT00000025493 ENSORLG00000020579
