,ENSELUT00000035114_ENSELUG00000022645,ENSHHUT00000023805_ENSHHUG00000014368,ENSSPAT00000029226_ENSSPAG00000021647,ENSNBRT00000032315_ENSNBRG00000023950,ENSMMOT00000007078_ENSMMOG00000005402,ENSTNIT00000008214_ENSTNIG00000005368,ENSGAFT00000025576_ENSGAFG00000017095,ENSPRET00000017003_ENSPREG00000011367,ENSCVAT00000012322_ENSCVAG00000003141,ENSGWIT00000040679_ENSGWIG00000019206,ENSCSET00000015338_ENSCSEG00000009740,ENSPMGT00000029059_ENSPMGG00000022022,ENSAMXT00000041929_ENSAMXG00000034959
ENSELUT00000035114_ENSELUG00000022645,1.0,0.7,0.53,0.55,0.57,0.55,0.56,0.56,0.55,0.54,0.53,0.49,0.49
ENSHHUT00000023805_ENSHHUG00000014368,0.7,1.0,0.62,0.6,0.6,0.55,0.56,0.61,0.52,0.5,0.57,0.56,0.56
ENSSPAT00000029226_ENSSPAG00000021647,0.53,0.62,1.0,0.68,0.61,0.6,0.69,0.68,0.66,0.63,0.61,0.58,0.56
ENSNBRT00000032315_ENSNBRG00000023950,0.55,0.6,0.68,1.0,0.74,0.62,0.65,0.69,0.61,0.66,0.59,0.57,0.48
ENSMMOT00000007078_ENSMMOG00000005402,0.57,0.6,0.61,0.74,1.0,0.6,0.62,0.65,0.61,0.6,0.67,0.57,0.46
ENSTNIT00000008214_ENSTNIG00000005368,0.55,0.55,0.6,0.62,0.6,1.0,0.58,0.58,0.52,0.49,0.58,0.48,0.38
ENSGAFT00000025576_ENSGAFG00000017095,0.56,0.56,0.69,0.65,0.62,0.58,1.0,0.8,0.58,0.53,0.59,0.53,0.42
ENSPRET00000017003_ENSPREG00000011367,0.56,0.61,0.68,0.69,0.65,0.58,0.8,1.0,0.69,0.59,0.61,0.52,0.41
ENSCVAT00000012322_ENSCVAG00000003141,0.55,0.52,0.66,0.61,0.61,0.52,0.58,0.69,1.0,0.56,0.59,0.52,0.42
ENSGWIT00000040679_ENSGWIG00000019206,0.54,0.5,0.63,0.66,0.6,0.49,0.53,0.59,0.56,1.0,0.62,0.56,0.49
ENSCSET00000015338_ENSCSEG00000009740,0.53,0.57,0.61,0.59,0.67,0.58,0.59,0.61,0.59,0.62,1.0,0.58,0.48
ENSPMGT00000029059_ENSPMGG00000022022,0.49,0.56,0.58,0.57,0.57,0.48,0.53,0.52,0.52,0.56,0.58,1.0,0.4
ENSAMXT00000041929_ENSAMXG00000034959,0.49,0.56,0.56,0.48,0.46,0.38,0.42,0.41,0.42,0.49,0.48,0.4,1.0
