,ENSNPET00000016945_ENSNPEG00000012314,ENSNPET00000016946_ENSNPEG00000012315,ENSAOWT00000022296_ENSAOWG00000013302,ENSAHAT00000008202_ENSAHAG00000005524,ENSARWT00000018941_ENSARWG00000011463,ENSDNVT00000027540_ENSDNVG00000015887,ENSDNVT00000027547_ENSDNVG00000015887,ENSGALT00000019399_ENSGALG00000011889,ENSCJPT00005009232_ENSCJPG00005005439,ENSNMET00000028788_ENSNMEG00000016968,ENSNMET00000028789_ENSNMEG00000016968
ENSNPET00000016945_ENSNPEG00000012314,1.0,1e-18,0.77,0.77,0.78,0.78,0.78,0.74,0.75,0.75,0.75
ENSNPET00000016946_ENSNPEG00000012315,1e-18,1.0,0.73,0.73,0.73,0.72,0.72,0.72,0.7,0.73,0.73
ENSAOWT00000022296_ENSAOWG00000013302,0.77,0.73,1.0,0.99,0.99,0.96,0.92,0.91,0.9,0.92,0.91
ENSAHAT00000008202_ENSAHAG00000005524,0.77,0.73,0.99,1.0,0.99,0.96,0.92,0.92,0.9,0.92,0.91
ENSARWT00000018941_ENSARWG00000011463,0.78,0.73,0.99,0.99,1.0,0.96,0.92,0.91,0.9,0.92,0.91
ENSDNVT00000027540_ENSDNVG00000015887,0.78,0.72,0.96,0.96,0.96,1.0,0.95,0.91,0.9,0.92,0.91
ENSDNVT00000027547_ENSDNVG00000015887,0.78,0.72,0.92,0.92,0.92,0.95,1.0,0.87,0.86,0.88,0.88
ENSGALT00000019399_ENSGALG00000011889,0.74,0.72,0.91,0.92,0.91,0.91,0.87,1.0,0.95,0.96,0.96
ENSCJPT00005009232_ENSCJPG00005005439,0.75,0.7,0.9,0.9,0.9,0.9,0.86,0.95,1.0,0.94,0.94
ENSNMET00000028788_ENSNMEG00000016968,0.75,0.73,0.92,0.92,0.92,0.92,0.88,0.96,0.94,1.0,0.99
ENSNMET00000028789_ENSNMEG00000016968,0.75,0.73,0.91,0.91,0.91,0.91,0.88,0.96,0.94,0.99,1.0
