,ENSAPET00000003062_ENSAPEG00000002175,ENSAOCT00000000219_ENSAOCG00000013004,ENSAPOT00000007225_ENSAPOG00000007893,ENSSPAT00000003310_ENSSPAG00000002483,ENSXCOT00000006077_ENSXCOG00000004662,ENSXMAT00000032453_ENSXMAG00000022693,ENSGAFT00000017381_ENSGAFG00000011638,ENSPFOT00000020419_ENSPFOG00000020269,ENSPMET00000004941_ENSPMEG00000008516,ENSPLAT00000004508_ENSPLAG00000009824,ENSPRET00000006460_ENSPREG00000004426,ENSFHET00000010448_ENSFHEG00000004395,ENSCVAT00000001547_ENSCVAG00000010291,ENSKMAT00000010542_ENSKMAG00000007801
ENSAPET00000003062_ENSAPEG00000002175,1.0,0.89,0.81,0.77,0.44,0.53,0.52,0.52,0.52,0.43,0.52,0.41,0.51,0.57
ENSAOCT00000000219_ENSAOCG00000013004,0.89,1.0,0.81,0.77,0.45,0.53,0.53,0.52,0.52,0.43,0.53,0.41,0.51,0.59
ENSAPOT00000007225_ENSAPOG00000007893,0.81,0.81,1.0,0.76,0.45,0.53,0.52,0.52,0.52,0.43,0.52,0.41,0.5,0.59
ENSSPAT00000003310_ENSSPAG00000002483,0.77,0.77,0.76,1.0,0.45,0.53,0.52,0.52,0.51,0.42,0.52,0.39,0.51,0.57
ENSXCOT00000006077_ENSXCOG00000004662,0.44,0.45,0.45,0.45,1.0,0.85,0.8,0.78,0.78,0.73,0.78,0.61,0.56,0.47
ENSXMAT00000032453_ENSXMAG00000022693,0.53,0.53,0.53,0.53,0.85,1.0,0.87,0.84,0.84,0.74,0.83,0.58,0.66,0.54
ENSGAFT00000017381_ENSGAFG00000011638,0.52,0.53,0.52,0.52,0.8,0.87,1.0,0.84,0.83,0.73,0.83,0.58,0.65,0.55
ENSPFOT00000020419_ENSPFOG00000020269,0.52,0.52,0.52,0.52,0.78,0.84,0.84,1.0,0.89,0.79,0.86,0.59,0.65,0.53
ENSPMET00000004941_ENSPMEG00000008516,0.52,0.52,0.52,0.51,0.78,0.84,0.83,0.89,1.0,0.78,0.87,0.59,0.64,0.54
ENSPLAT00000004508_ENSPLAG00000009824,0.43,0.43,0.43,0.42,0.73,0.74,0.73,0.79,0.78,1.0,0.77,0.58,0.54,0.44
ENSPRET00000006460_ENSPREG00000004426,0.52,0.53,0.52,0.52,0.78,0.83,0.83,0.86,0.87,0.77,1.0,0.58,0.64,0.52
ENSFHET00000010448_ENSFHEG00000004395,0.41,0.41,0.41,0.39,0.61,0.58,0.58,0.59,0.59,0.58,0.58,1.0,0.57,0.46
ENSCVAT00000001547_ENSCVAG00000010291,0.51,0.51,0.5,0.51,0.56,0.66,0.65,0.65,0.64,0.54,0.64,0.57,1.0,0.52
ENSKMAT00000010542_ENSKMAG00000007801,0.57,0.59,0.59,0.57,0.47,0.54,0.55,0.53,0.54,0.44,0.52,0.46,0.52,1.0
