,FBtr0346075_FBgn0052488,FBtr0073008_FBgn0052488,FBtr0071773_FBgn0034713,FBtr0347063_FBgn0036759,FBtr0075162_FBgn0036759,FBtr0073007_FBgn0052487,FBtr0075161_FBgn0036760,C45E5.1.1_WBGene00016664,C45E5.1.2_WBGene00016664,ENSCSAVT00000009658_ENSCSAVG00000005605
FBtr0346075_FBgn0052488,1.0,0.9,0.41,0.27,0.27,0.37,1e-18,0.26,0.26,0.3
FBtr0073008_FBgn0052488,0.9,1.0,0.41,0.27,0.27,0.37,1e-18,0.26,0.26,0.3
FBtr0071773_FBgn0034713,0.41,0.41,1.0,0.29,0.29,0.36,1e-18,0.24,0.24,0.32
FBtr0347063_FBgn0036759,0.27,0.27,0.29,1.0,0.97,0.3,1e-18,0.22,0.22,0.22
FBtr0075162_FBgn0036759,0.27,0.27,0.29,0.97,1.0,0.3,1e-18,0.22,0.22,0.22
FBtr0073007_FBgn0052487,0.37,0.37,0.36,0.3,0.3,1.0,1e-18,0.29,0.29,0.23
FBtr0075161_FBgn0036760,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.28,0.28,0.33
C45E5.1.1_WBGene00016664,0.26,0.26,0.24,0.22,0.22,0.29,0.28,1.0,0.92,0.35
C45E5.1.2_WBGene00016664,0.26,0.26,0.24,0.22,0.22,0.29,0.28,0.92,1.0,0.35
ENSCSAVT00000009658_ENSCSAVG00000005605,0.3,0.3,0.32,0.22,0.22,0.23,0.33,0.35,0.35,1.0
