,ENSVURT00010007102_ENSVURG00010004871,ENSMODT00000036941_ENSMODG00000024731,ENSSHAT00000010559_ENSSHAG00000009033,ENST00000267984_ENSG00000140406,ENSPPYT00000007934_ENSPPYG00000006718,ENSTGET00000003923_ENSTGEG00000002739,ENSMMUT00000082018_ENSMMUG00000052973,ENSCSAT00000019819_ENSCSAG00000019729,ENSPTET00000027665_ENSPTEG00000020299,ENSCCAT00000003888_ENSCCAG00000003557,ENSCJAT00000015284_ENSCJAG00000007827
ENSVURT00010007102_ENSVURG00010004871,1.0,0.95,0.95,0.85,0.73,0.84,0.85,0.85,0.85,0.86,0.85
ENSMODT00000036941_ENSMODG00000024731,0.95,1.0,0.93,0.85,0.72,0.84,0.84,0.84,0.84,0.85,0.84
ENSSHAT00000010559_ENSSHAG00000009033,0.95,0.93,1.0,0.87,0.75,0.86,0.86,0.87,0.87,0.87,0.86
ENST00000267984_ENSG00000140406,0.85,0.85,0.87,1.0,0.88,0.98,0.98,0.98,0.98,0.98,0.97
ENSPPYT00000007934_ENSPPYG00000006718,0.73,0.72,0.75,0.88,1.0,0.86,0.86,0.86,0.86,0.86,0.85
ENSTGET00000003923_ENSTGEG00000002739,0.84,0.84,0.86,0.98,0.86,1.0,0.99,0.99,0.98,0.97,0.96
ENSMMUT00000082018_ENSMMUG00000052973,0.85,0.84,0.86,0.98,0.86,0.99,1.0,0.99,0.98,0.96,0.96
ENSCSAT00000019819_ENSCSAG00000019729,0.85,0.84,0.87,0.98,0.86,0.99,0.99,1.0,0.99,0.97,0.96
ENSPTET00000027665_ENSPTEG00000020299,0.85,0.84,0.87,0.98,0.86,0.98,0.98,0.99,1.0,0.97,0.96
ENSCCAT00000003888_ENSCCAG00000003557,0.86,0.85,0.87,0.98,0.86,0.97,0.96,0.97,0.97,1.0,0.98
ENSCJAT00000015284_ENSCJAG00000007827,0.85,0.84,0.86,0.97,0.85,0.96,0.96,0.96,0.96,0.98,1.0
