,ENSPMJT00000008910_ENSPMJG00000005371,ENSCCET00000028128_ENSCCEG00000016835,ENSFALT00000002338_ENSFALG00000002237,ENSZALT00000006684_ENSZALG00000004157,ENSZALT00000006688_ENSZALG00000004157,ENSMVIT00005006322_ENSMVIG00005004228,ENSMVIT00005006330_ENSMVIG00005004228,ENSMVIT00005006353_ENSMVIG00005004228,ENSMVIT00005006388_ENSMVIG00005004228,ENSLCOT00000024712_ENSLCOG00000016407,ENSLCOT00000024713_ENSLCOG00000016407,ENSABRT00000004810_ENSABRG00000003143
ENSPMJT00000008910_ENSPMJG00000005371,1.0,0.94,0.84,0.83,0.82,0.83,0.82,0.83,0.82,0.74,0.75,0.73
ENSCCET00000028128_ENSCCEG00000016835,0.94,1.0,0.83,0.83,0.82,0.82,0.81,0.81,0.81,0.73,0.74,0.72
ENSFALT00000002338_ENSFALG00000002237,0.84,0.83,1.0,0.83,0.82,0.76,0.75,0.75,0.75,0.72,0.73,0.68
ENSZALT00000006684_ENSZALG00000004157,0.83,0.83,0.83,1.0,0.96,0.76,0.75,0.75,0.74,0.72,0.73,0.67
ENSZALT00000006688_ENSZALG00000004157,0.82,0.82,0.82,0.96,1.0,0.75,0.74,0.74,0.73,0.71,0.72,0.66
ENSMVIT00005006322_ENSMVIG00005004228,0.83,0.82,0.76,0.76,0.75,1.0,0.96,0.98,0.97,0.86,0.86,0.73
ENSMVIT00005006330_ENSMVIG00005004228,0.82,0.81,0.75,0.75,0.74,0.96,1.0,0.96,0.96,0.86,0.86,0.72
ENSMVIT00005006353_ENSMVIG00005004228,0.83,0.81,0.75,0.75,0.74,0.98,0.96,1.0,0.96,0.86,0.86,0.72
ENSMVIT00005006388_ENSMVIG00005004228,0.82,0.81,0.75,0.74,0.73,0.97,0.96,0.96,1.0,0.85,0.85,0.71
ENSLCOT00000024712_ENSLCOG00000016407,0.74,0.73,0.72,0.72,0.71,0.86,0.86,0.86,0.85,1.0,0.97,0.67
ENSLCOT00000024713_ENSLCOG00000016407,0.75,0.74,0.73,0.73,0.72,0.86,0.86,0.86,0.85,0.97,1.0,0.67
ENSABRT00000004810_ENSABRG00000003143,0.73,0.72,0.68,0.67,0.66,0.73,0.72,0.72,0.71,0.67,0.67,1.0
