,ENSCSET00000009235_ENSCSEG00000005853,ENSGWIT00000013068_ENSGWIG00000006873,ENSGWIT00000013070_ENSGWIG00000006873,ENSGWIT00000013071_ENSGWIG00000006873,ENSMALT00000017917_ENSMALG00000012259,ENSMALT00000017935_ENSMALG00000012259,ENSMALT00000017948_ENSMALG00000012259,ENSBSLT00000051508_ENSBSLG00000022328,ENSPFOT00000009724_ENSPFOG00000009761,ENSPFOT00000022436_ENSPFOG00000009761,ENSPMET00000012292_ENSPMEG00000003637,ENSPMET00000012299_ENSPMEG00000003637,ENSPMET00000012308_ENSPMEG00000003637,ENSPLAT00000028674_ENSPLAG00000023878,ENSPLAT00000032149_ENSPLAG00000023878,ENSPRET00000023147_ENSPREG00000015469,ENSPRET00000023153_ENSPREG00000015469,ENSXMAT00000037708_ENSXMAG00000022972,ENSXMAT00000021100_ENSXMAG00000022972,ENSXCOT00000002065_ENSXCOG00000001640,ENSGAFT00000025119_ENSGAFG00000016779,ENSGAFT00000025121_ENSGAFG00000016779,ENSFHET00000013376_ENSFHEG00000002495,ENSFHET00000013380_ENSFHEG00000002495,ENSFHET00000013390_ENSFHEG00000002495,ENSFHET00000013401_ENSFHEG00000002495,ENSCVAT00000007527_ENSCVAG00000006242,ENSKMAT00000005746_ENSKMAG00000004296,ENSKMAT00000005765_ENSKMAG00000004296,ENSORLT00000039387_ENSORLG00000022969
ENSCSET00000009235_ENSCSEG00000005853,1.0,0.67,0.55,0.47,0.76,0.76,0.76,0.66,0.73,0.56,0.73,0.73,0.73,0.73,0.68,0.72,0.72,0.72,0.72,0.64,0.72,0.72,0.71,0.69,0.71,0.71,0.73,0.73,0.73,0.7
ENSGWIT00000013068_ENSGWIG00000006873,0.67,1.0,0.87,0.84,0.71,0.68,0.7,0.62,0.69,0.49,0.67,0.69,0.67,0.69,0.64,0.66,0.69,0.66,0.68,0.58,0.68,0.66,0.65,0.63,0.65,0.67,0.67,0.67,0.7,0.65
ENSGWIT00000013070_ENSGWIG00000006873,0.55,0.87,1.0,0.87,0.58,0.58,0.59,0.55,0.56,0.51,0.56,0.56,0.56,0.56,0.53,0.55,0.55,0.55,0.55,0.49,0.55,0.55,0.54,0.53,0.54,0.54,0.56,0.56,0.56,0.53
ENSGWIT00000013071_ENSGWIG00000006873,0.47,0.84,0.87,1.0,0.52,0.52,0.53,0.51,0.49,0.52,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.48,0.48,0.5,0.48,0.48,0.47,0.46,0.47,0.47,0.48,0.5,0.5,0.45
ENSMALT00000017917_ENSMALG00000012259,0.76,0.71,0.58,0.52,1.0,0.94,0.95,0.72,0.78,0.63,0.75,0.78,0.75,0.78,0.73,0.75,0.77,0.74,0.77,0.68,0.77,0.75,0.73,0.72,0.73,0.76,0.76,0.75,0.78,0.72
ENSMALT00000017935_ENSMALG00000012259,0.76,0.68,0.58,0.52,0.94,1.0,0.95,0.72,0.75,0.63,0.75,0.75,0.78,0.75,0.73,0.77,0.75,0.77,0.74,0.68,0.75,0.77,0.73,0.72,0.76,0.73,0.76,0.77,0.75,0.72
ENSMALT00000017948_ENSMALG00000012259,0.76,0.7,0.59,0.53,0.95,0.95,1.0,0.73,0.77,0.63,0.77,0.77,0.77,0.77,0.72,0.76,0.76,0.76,0.76,0.69,0.76,0.76,0.75,0.72,0.75,0.75,0.77,0.76,0.76,0.74
ENSBSLT00000051508_ENSBSLG00000022328,0.66,0.62,0.55,0.51,0.72,0.72,0.73,1.0,0.69,0.61,0.69,0.69,0.69,0.69,0.7,0.69,0.69,0.68,0.68,0.67,0.68,0.68,0.7,0.69,0.7,0.7,0.69,0.69,0.69,0.64
ENSPFOT00000009724_ENSPFOG00000009761,0.73,0.69,0.56,0.49,0.78,0.75,0.77,0.69,1.0,0.83,0.93,0.96,0.93,0.95,0.9,0.92,0.94,0.9,0.92,0.84,0.92,0.9,0.84,0.83,0.84,0.87,0.86,0.8,0.82,0.71
ENSPFOT00000022436_ENSPFOG00000009761,0.56,0.49,0.51,0.52,0.63,0.63,0.63,0.61,0.83,1.0,0.83,0.83,0.83,0.82,0.82,0.81,0.81,0.78,0.78,0.8,0.79,0.79,0.72,0.71,0.72,0.72,0.73,0.65,0.65,0.55
ENSPMET00000012292_ENSPMEG00000003637,0.73,0.67,0.56,0.49,0.75,0.75,0.77,0.69,0.93,0.83,1.0,0.94,0.94,0.93,0.9,0.92,0.92,0.9,0.9,0.84,0.9,0.9,0.86,0.82,0.84,0.84,0.86,0.8,0.8,0.7
ENSPMET00000012299_ENSPMEG00000003637,0.73,0.69,0.56,0.49,0.78,0.75,0.77,0.69,0.96,0.83,0.94,1.0,0.94,0.95,0.9,0.92,0.94,0.9,0.92,0.84,0.92,0.9,0.84,0.83,0.84,0.87,0.86,0.8,0.82,0.7
ENSPMET00000012308_ENSPMEG00000003637,0.73,0.67,0.56,0.49,0.75,0.78,0.77,0.69,0.93,0.83,0.94,0.94,1.0,0.93,0.9,0.94,0.92,0.92,0.9,0.84,0.9,0.92,0.84,0.83,0.87,0.84,0.86,0.82,0.8,0.7
