,ENSOMET00000033154_ENSOMEG00000014904,ENSOMET00000028180_ENSOMEG00000020824,ENSMAMT00000026235_ENSMAMG00000017175,ENSPKIT00000000626_ENSPKIG00000004955,ENSSPUT00000013556_ENSSPUG00000009778,ENSNSUT00000017931_ENSNSUG00000012419,ENSSPUT00000012634_ENSSPUG00000009097,ENSCABT00000018454_ENSCABG00000012492,ENSGAGT00000010724_ENSGAGG00000007385,ENSLCOT00000012187_ENSLCOG00000008347,ENSABRT00000013602_ENSABRG00000008533,ENSNPET00000021229_ENSNPEG00000015390,ENSIPUT00000019112_ENSIPUG00000012463
ENSOMET00000033154_ENSOMEG00000014904,1.0,0.77,0.66,0.53,0.6,0.46,0.52,0.47,0.46,0.44,0.44,0.43,0.5
ENSOMET00000028180_ENSOMEG00000020824,0.77,1.0,0.69,0.56,0.62,0.48,0.54,0.49,0.45,0.47,0.46,0.45,0.5
ENSMAMT00000026235_ENSMAMG00000017175,0.66,0.69,1.0,0.63,0.65,0.54,0.56,0.53,0.54,0.53,0.56,0.54,0.55
ENSPKIT00000000626_ENSPKIG00000004955,0.53,0.56,0.63,1.0,0.58,0.47,0.54,0.48,0.49,0.54,0.52,0.49,0.48
ENSSPUT00000013556_ENSSPUG00000009778,0.6,0.62,0.65,0.58,1.0,0.54,0.57,0.52,0.54,0.55,0.54,0.52,0.62
ENSNSUT00000017931_ENSNSUG00000012419,0.46,0.48,0.54,0.47,0.54,1.0,0.74,0.7,0.71,0.65,0.65,0.69,0.62
ENSSPUT00000012634_ENSSPUG00000009097,0.52,0.54,0.56,0.54,0.57,0.74,1.0,0.75,0.76,0.69,0.66,0.68,0.63
ENSCABT00000018454_ENSCABG00000012492,0.47,0.49,0.53,0.48,0.52,0.7,0.75,1.0,0.82,0.64,0.65,0.65,0.6
ENSGAGT00000010724_ENSGAGG00000007385,0.46,0.45,0.54,0.49,0.54,0.71,0.76,0.82,1.0,0.64,0.65,0.7,0.59
ENSLCOT00000012187_ENSLCOG00000008347,0.44,0.47,0.53,0.54,0.55,0.65,0.69,0.64,0.64,1.0,0.74,0.74,0.6
ENSABRT00000013602_ENSABRG00000008533,0.44,0.46,0.56,0.52,0.54,0.65,0.66,0.65,0.65,0.74,1.0,0.71,0.6
ENSNPET00000021229_ENSNPEG00000015390,0.43,0.45,0.54,0.49,0.52,0.69,0.68,0.65,0.7,0.74,0.71,1.0,0.58
ENSIPUT00000019112_ENSIPUG00000012463,0.5,0.5,0.55,0.48,0.62,0.62,0.63,0.6,0.59,0.6,0.6,0.58,1.0
