,ENSDCDT00000041462_ENSDCDG00000022139,ENSCHAT00000027677_ENSCHAG00000012432,ENSHHUT00000017050_ENSHHUG00000010257,ENSHHUT00000017054_ENSHHUG00000010257,ENSHHUT00000017061_ENSHHUG00000010257,ENSELUT00000015840_ENSELUG00000003718,ENSSFOT00015001003_ENSSFOG00015000734,ENSGAGT00000030425_ENSGAGG00000019502,ENSGAGT00000030426_ENSGAGG00000019502,ENSPSIT00000016369_ENSPSIG00000014527
ENSDCDT00000041462_ENSDCDG00000022139,1.0,0.44,0.35,0.35,0.47,0.46,0.49,0.4,0.4,0.42
ENSCHAT00000027677_ENSCHAG00000012432,0.44,1.0,0.36,0.36,0.36,0.35,0.41,0.44,0.44,0.44
ENSHHUT00000017050_ENSHHUG00000010257,0.35,0.36,1.0,0.85,0.85,0.62,0.41,0.39,0.39,0.38
ENSHHUT00000017054_ENSHHUG00000010257,0.35,0.36,0.85,1.0,0.85,0.62,0.41,0.36,0.36,0.35
ENSHHUT00000017061_ENSHHUG00000010257,0.47,0.36,0.85,0.85,1.0,0.74,0.49,0.36,0.36,0.35
ENSELUT00000015840_ENSELUG00000003718,0.46,0.35,0.62,0.62,0.74,1.0,0.49,0.35,0.35,0.33
ENSSFOT00015001003_ENSSFOG00015000734,0.49,0.41,0.41,0.41,0.49,0.49,1.0,0.44,0.44,0.45
ENSGAGT00000030425_ENSGAGG00000019502,0.4,0.44,0.39,0.36,0.36,0.35,0.44,1.0,0.95,0.77
ENSGAGT00000030426_ENSGAGG00000019502,0.4,0.44,0.39,0.36,0.36,0.35,0.44,0.95,1.0,0.77
ENSPSIT00000016369_ENSPSIG00000014527,0.42,0.44,0.38,0.35,0.35,0.33,0.45,0.77,0.77,1.0
