,ENSPPAT00000035304_ENSPPAG00000029500,ENSPPAT00000035306_ENSPPAG00000029500,ENSPPAT00000035307_ENSPPAG00000029500,ENSPTRT00000024799_ENSPTRG00000013351,ENSPTRT00000078060_ENSPTRG00000013351,ENSPTRT00000086147_ENSPTRG00000013351,ENSGGOT00000027291_ENSGGOG00000005372,ENSGGOT00000066131_ENSGGOG00000005372,ENSGGOT00000005395_ENSGGOG00000005372,ENST00000339144_ENSG00000180483,ENST00000376321_ENSG00000180483,ENST00000376315_ENSG00000180483,ENSPPYT00000012633_ENSPPYG00000010881,ENSNLET00000055207_ENSNLEG00000009568,ENSNLET00000012214_ENSNLEG00000009568,ENSNLET00000043331_ENSNLEG00000009568,ENSRBIT00000065538_ENSRBIG00000044078,ENSRBIT00000065539_ENSRBIG00000044078,ENSRBIT00000065540_ENSRBIG00000044078,ENSRROT00000066545_ENSRROG00000044181,ENSRROT00000066547_ENSRROG00000044181,ENSRROT00000066548_ENSRROG00000044181
ENSPPAT00000035304_ENSPPAG00000029500,1.0,0.87,0.87,1.0,0.87,0.87,0.98,0.84,0.87,0.85,0.99,0.87,0.84,0.97,0.87,0.84,0.96,0.81,0.8,0.96,0.8,0.81
ENSPPAT00000035306_ENSPPAG00000029500,0.87,1.0,0.85,0.87,1.0,0.85,0.84,0.98,0.85,0.98,0.85,0.85,0.83,0.84,0.85,0.98,0.81,0.95,0.78,0.81,0.78,0.95
ENSPPAT00000035307_ENSPPAG00000029500,0.87,0.85,1.0,0.87,0.85,1.0,0.87,0.85,1.0,0.85,0.87,0.99,0.98,0.87,0.99,0.85,0.8,0.78,0.97,0.8,0.97,0.78
ENSPTRT00000024799_ENSPTRG00000013351,1.0,0.87,0.87,1.0,0.87,0.87,0.98,0.84,0.87,0.85,0.99,0.87,0.84,0.97,0.87,0.84,0.96,0.81,0.8,0.96,0.8,0.81
ENSPTRT00000078060_ENSPTRG00000013351,0.87,1.0,0.85,0.87,1.0,0.85,0.84,0.98,0.85,0.98,0.85,0.85,0.83,0.84,0.85,0.98,0.81,0.95,0.78,0.81,0.78,0.95
ENSPTRT00000086147_ENSPTRG00000013351,0.87,0.85,1.0,0.87,0.85,1.0,0.87,0.85,1.0,0.85,0.87,0.99,0.98,0.87,0.99,0.85,0.8,0.78,0.97,0.8,0.97,0.78
ENSGGOT00000027291_ENSGGOG00000005372,0.98,0.84,0.87,0.98,0.84,0.87,1.0,0.87,0.87,0.85,0.98,0.87,0.84,0.97,0.87,0.84,0.96,0.81,0.8,0.96,0.8,0.81
ENSGGOT00000066131_ENSGGOG00000005372,0.84,0.98,0.85,0.84,0.98,0.85,0.87,1.0,0.85,0.99,0.85,0.85,0.83,0.84,0.85,0.99,0.81,0.95,0.78,0.81,0.78,0.95
ENSGGOT00000005395_ENSGGOG00000005372,0.87,0.85,1.0,0.87,0.85,1.0,0.87,0.85,1.0,0.85,0.87,0.99,0.98,0.87,0.99,0.85,0.8,0.78,0.97,0.8,0.97,0.78
ENST00000339144_ENSG00000180483,0.85,0.98,0.85,0.85,0.98,0.85,0.85,0.99,0.85,1.0,0.87,0.85,0.83,0.86,0.85,0.99,0.82,0.96,0.78,0.82,0.78,0.96
ENST00000376321_ENSG00000180483,0.99,0.85,0.87,0.99,0.85,0.87,0.98,0.85,0.87,0.87,1.0,0.87,0.84,0.97,0.87,0.86,0.96,0.82,0.8,0.96,0.8,0.82
ENST00000376315_ENSG00000180483,0.87,0.85,0.99,0.87,0.85,0.99,0.87,0.85,0.99,0.85,0.87,1.0,0.97,0.87,0.99,0.85,0.8,0.78,0.96,0.8,0.96,0.78
ENSPPYT00000012633_ENSPPYG00000010881,0.84,0.83,0.98,0.84,0.83,0.98,0.84,0.83,0.98,0.83,0.84,0.97,1.0,0.84,0.98,0.83,0.78,0.76,0.95,0.78,0.95,0.76
ENSNLET00000055207_ENSNLEG00000009568,0.97,0.84,0.87,0.97,0.84,0.87,0.97,0.84,0.87,0.86,0.97,0.87,0.84,1.0,0.87,0.87,0.96,0.81,0.8,0.96,0.8,0.81
ENSNLET00000012214_ENSNLEG00000009568,0.87,0.85,0.99,0.87,0.85,0.99,0.87,0.85,0.99,0.85,0.87,0.99,0.98,0.87,1.0,0.85,0.8,0.78,0.97,0.8,0.97,0.78
ENSNLET00000043331_ENSNLEG00000009568,0.84,0.98,0.85,0.84,0.98,0.85,0.84,0.99,0.85,0.99,0.86,0.85,0.83,0.87,0.85,1.0,0.81,0.96,0.78,0.81,0.78,0.96
ENSRBIT00000065538_ENSRBIG00000044078,0.96,0.81,0.8,0.96,0.81,0.8,0.96,0.81,0.8,0.82,0.96,0.8,0.78,0.96,0.8,0.81,1.0,0.87,0.87,1.0,0.87,0.87
ENSRBIT00000065539_ENSRBIG00000044078,0.81,0.95,0.78,0.81,0.95,0.78,0.81,0.95,0.78,0.96,0.82,0.78,0.76,0.81,0.78,0.96,0.87,1.0,0.85,0.87,0.85,1.0
ENSRBIT00000065540_ENSRBIG00000044078,0.8,0.78,0.97,0.8,0.78,0.97,0.8,0.78,0.97,0.78,0.8,0.96,0.95,0.8,0.97,0.78,0.87,0.85,1.0,0.87,1.0,0.85
ENSRROT00000066545_ENSRROG00000044181,0.96,0.81,0.8,0.96,0.81,0.8,0.96,0.81,0.8,0.82,0.96,0.8,0.78,0.96,0.8,0.81,1.0,0.87,0.87,1.0,0.87,0.87
ENSRROT00000066547_ENSRROG00000044181,0.8,0.78,0.97,0.8,0.78,0.97,0.8,0.78,0.97,0.78,0.8,0.96,0.95,0.8,0.97,0.78,0.87,0.85,1.0,0.87,1.0,0.85
ENSRROT00000066548_ENSRROG00000044181,0.81,0.95,0.78,0.81,0.95,0.78,0.81,0.95,0.78,0.96,0.82,0.78,0.76,0.81,0.78,0.96,0.87,1.0,0.85,0.87,0.85,1.0
