,ENSAHAT00000008308_ENSAHAG00000005522,ENSAHAT00000008311_ENSAHAG00000005522,ENSAHAT00000008325_ENSAHAG00000005522,ENSAHAT00000008356_ENSAHAG00000005522,ENSAHAT00000008375_ENSAHAG00000005522,ENSAOWT00000032439_ENSAOWG00000019289,ENSAOWT00000032440_ENSAOWG00000019289,ENSAOWT00000032442_ENSAOWG00000019289,ENSARWT00000019779_ENSARWG00000011968,ENSDNVT00000007356_ENSDNVG00000004364,ENSNPET00000021018_ENSNPEG00000015029,ENSNPET00000021038_ENSNPEG00000015029,ENSNPET00000021073_ENSNPEG00000015029,ENSNPET00000021089_ENSNPEG00000015029,ENSNPET00000021093_ENSNPEG00000015029,ENSCPUT00000030240_ENSCPUG00000017316,ENSCPUT00000030241_ENSCPUG00000017316,ENSCPUT00000030242_ENSCPUG00000017316,ENSCPUT00000030244_ENSCPUG00000017316,ENSCPUT00000030245_ENSCPUG00000017316,ENSCPUT00000030252_ENSCPUG00000017316,ENSCPUT00000030254_ENSCPUG00000017316,ENSCPUT00000030255_ENSCPUG00000017316,ENSCPUT00000030256_ENSCPUG00000017316,ENSCPGT00000028508_ENSCPGG00000017964,ENSCPGT00000028560_ENSCPGG00000017964,ENSCPGT00000028562_ENSCPGG00000017964,ENSCPGT00000028563_ENSCPGG00000017964,ENSZALT00000005102_ENSZALG00000003213
ENSAHAT00000008308_ENSAHAG00000005522,1.0,0.89,0.89,0.86,0.83,0.93,0.89,0.82,0.91,0.86,0.77,0.74,0.74,0.74,0.75,0.65,0.65,0.65,0.63,0.63,0.71,0.67,0.67,0.72,0.67,0.71,0.65,0.63,0.71
ENSAHAT00000008311_ENSAHAG00000005522,0.89,1.0,0.85,0.83,0.82,0.88,0.93,0.82,0.89,0.83,0.72,0.74,0.73,0.74,0.75,0.64,0.64,0.64,0.62,0.62,0.69,0.65,0.65,0.7,0.66,0.69,0.64,0.62,0.68
ENSAHAT00000008325_ENSAHAG00000005522,0.89,0.85,1.0,0.85,0.82,0.87,0.84,0.82,0.85,0.8,0.72,0.7,0.69,0.7,0.7,0.67,0.66,0.67,0.63,0.63,0.66,0.69,0.69,0.67,0.62,0.65,0.62,0.62,0.65
ENSAHAT00000008356_ENSAHAG00000005522,0.86,0.83,0.85,1.0,0.84,0.84,0.83,0.84,0.83,0.79,0.72,0.7,0.7,0.7,0.7,0.64,0.64,0.64,1e-18,1e-18,0.64,0.64,0.64,0.64,0.61,0.63,0.63,0.64,0.63
ENSAHAT00000008375_ENSAHAG00000005522,0.83,0.82,0.82,0.84,1.0,0.81,0.82,0.9,0.83,0.77,0.7,0.7,0.7,0.7,0.7,0.64,0.64,0.64,1e-18,1e-18,0.64,0.64,0.64,0.65,0.62,0.63,0.63,0.65,0.64
ENSAOWT00000032439_ENSAOWG00000019289,0.93,0.88,0.87,0.84,0.81,1.0,0.88,0.82,0.9,0.85,0.76,0.73,0.73,0.73,0.74,0.64,0.64,0.64,0.63,0.63,0.7,0.65,0.65,0.71,0.66,0.7,0.64,0.62,0.69
ENSAOWT00000032440_ENSAOWG00000019289,0.89,0.93,0.84,0.83,0.82,0.88,1.0,0.82,0.89,0.83,0.72,0.74,0.73,0.74,0.75,0.64,0.64,0.64,0.63,0.63,0.69,0.65,0.65,0.7,0.66,0.69,0.64,0.62,0.68
ENSAOWT00000032442_ENSAOWG00000019289,0.82,0.82,0.82,0.84,0.9,0.82,0.82,1.0,0.83,0.76,0.69,0.7,0.7,0.7,0.7,0.63,0.63,0.63,1e-18,1e-18,0.64,0.64,0.64,0.64,0.61,0.63,0.63,0.65,0.63
ENSARWT00000019779_ENSARWG00000011968,0.91,0.89,0.85,0.83,0.83,0.9,0.89,0.83,1.0,0.85,0.76,0.75,0.74,0.75,0.76,0.65,0.65,0.65,0.63,0.63,0.71,0.66,0.66,0.72,0.67,0.71,0.65,0.63,0.71
ENSDNVT00000007356_ENSDNVG00000004364,0.86,0.83,0.8,0.79,0.77,0.85,0.83,0.76,0.85,1.0,0.76,0.74,0.73,0.74,0.74,0.65,0.65,0.67,0.63,0.64,0.71,0.66,0.67,0.72,0.68,0.73,0.68,0.65,0.7
