,FBtr0078962_FBgn0037213,FBtr0078961_FBgn0037213,FBtr0335032_FBgn0038073,FBtr0335030_FBgn0038073,FBtr0300769_FBgn0038073,FBtr0335028_FBgn0038073,FBtr0335033_FBgn0038073,FBtr0335029_FBgn0038073,FBtr0335031_FBgn0038073,FBtr0310613_FBgn0038073,R148.5a.1_WBGene00020104,R148.5b.1_WBGene00020104
FBtr0078962_FBgn0037213,1.0,0.93,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.31
FBtr0078961_FBgn0037213,0.93,1.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.31
FBtr0335032_FBgn0038073,0.33,0.33,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.25,0.25
FBtr0335030_FBgn0038073,0.33,0.33,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.94,0.25,0.25
FBtr0300769_FBgn0038073,0.33,0.33,0.94,0.94,1.0,0.94,0.94,0.94,0.94,0.94,0.25,0.25
FBtr0335028_FBgn0038073,0.33,0.33,0.94,0.94,0.94,1.0,0.94,0.94,0.94,0.94,0.25,0.25
FBtr0335033_FBgn0038073,0.33,0.33,0.94,0.94,0.94,0.94,1.0,0.94,0.94,0.94,0.25,0.25
FBtr0335029_FBgn0038073,0.33,0.33,0.94,0.94,0.94,0.94,0.94,1.0,0.94,0.94,0.25,0.25
FBtr0335031_FBgn0038073,0.33,0.33,0.94,0.94,0.94,0.94,0.94,0.94,1.0,0.94,0.25,0.25
FBtr0310613_FBgn0038073,0.33,0.33,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1.0,0.25,0.25
R148.5a.1_WBGene00020104,0.31,0.31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.92
R148.5b.1_WBGene00020104,0.31,0.31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.92,1.0
