,ENSCHAT00000052393_ENSCHAG00000022316,ENSCHAT00000052434_ENSCHAG00000022316,ENSCHAT00000052492_ENSCHAG00000022316,ENSCHAT00000052784_ENSCHAG00000022316,ENSCHAT00000052816_ENSCHAG00000022316,ENSCHAT00000052891_ENSCHAG00000022316,ENSCHAT00000052941_ENSCHAG00000022316,ENSDCDT00000071634_ENSDCDG00000034336,ENSDCDT00000071636_ENSDCDG00000034336,ENSDCDT00000071669_ENSDCDG00000034336,ENSDCDT00000071680_ENSDCDG00000034336,ENSDCDT00000071683_ENSDCDG00000034336,ENSDCDT00000071693_ENSDCDG00000034336,ENSDCDT00000071694_ENSDCDG00000034336,ENSDCDT00000071701_ENSDCDG00000034336,ENSDCDT00000071709_ENSDCDG00000034336,ENSDCDT00000071721_ENSDCDG00000034336,ENSAMXT00000038257_ENSAMXG00000004272,ENSAMXT00000046720_ENSAMXG00000004272,ENSAMXT00000004413_ENSAMXG00000004272,ENSAMXT00000052145_ENSAMXG00000004272
ENSCHAT00000052393_ENSCHAG00000022316,1.0,0.96,0.96,0.96,0.94,0.96,0.94,0.81,0.79,0.79,0.79,0.8,0.81,0.79,0.79,0.79,0.8,0.79,0.78,0.76,0.76
ENSCHAT00000052434_ENSCHAG00000022316,0.96,1.0,0.94,0.94,0.92,0.94,0.92,0.78,0.77,0.77,0.77,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.76,0.74,0.74
ENSCHAT00000052492_ENSCHAG00000022316,0.96,0.94,1.0,0.94,0.92,0.94,0.94,0.79,0.78,0.78,0.78,0.79,0.81,0.79,0.79,0.77,0.78,0.77,0.76,0.74,0.75
ENSCHAT00000052784_ENSCHAG00000022316,0.96,0.94,0.94,1.0,0.96,0.99,0.94,0.8,0.79,0.8,0.8,0.8,0.81,0.79,0.78,0.79,0.8,0.81,0.79,0.77,0.78
ENSCHAT00000052816_ENSCHAG00000022316,0.94,0.92,0.92,0.96,1.0,0.96,0.92,0.77,0.77,0.79,0.77,0.77,0.78,0.77,0.76,0.79,0.78,0.77,0.79,0.81,0.77
ENSCHAT00000052891_ENSCHAG00000022316,0.96,0.94,0.94,0.99,0.96,1.0,0.94,0.8,0.8,0.8,0.81,0.8,0.81,0.79,0.78,0.8,0.81,0.81,0.8,0.78,0.78
ENSCHAT00000052941_ENSCHAG00000022316,0.94,0.92,0.94,0.94,0.92,0.94,1.0,0.81,0.79,0.8,0.8,0.8,0.83,0.8,0.82,0.79,0.8,0.77,0.76,0.75,0.75
ENSDCDT00000071634_ENSDCDG00000034336,0.81,0.78,0.79,0.8,0.77,0.8,0.81,1.0,0.95,0.94,0.94,0.95,0.94,0.93,0.94,0.94,0.95,0.77,0.76,0.74,0.75
ENSDCDT00000071636_ENSDCDG00000034336,0.79,0.77,0.78,0.79,0.77,0.8,0.79,0.95,1.0,0.94,0.94,0.94,0.93,0.92,0.93,0.94,0.95,0.76,0.75,0.74,0.74
ENSDCDT00000071669_ENSDCDG00000034336,0.79,0.77,0.78,0.8,0.79,0.8,0.8,0.94,0.94,1.0,0.96,0.94,0.93,0.92,0.93,0.97,0.96,0.77,0.78,0.76,0.76
ENSDCDT00000071680_ENSDCDG00000034336,0.79,0.77,0.78,0.8,0.77,0.81,0.8,0.94,0.94,0.96,1.0,0.95,0.93,0.94,0.94,0.95,0.96,0.77,0.76,0.74,0.74
ENSDCDT00000071683_ENSDCDG00000034336,0.8,0.78,0.79,0.8,0.77,0.8,0.8,0.95,0.94,0.94,0.95,1.0,0.93,0.95,0.93,0.93,0.94,0.77,0.76,0.74,0.74
ENSDCDT00000071693_ENSDCDG00000034336,0.81,0.78,0.81,0.81,0.78,0.81,0.83,0.94,0.93,0.93,0.93,0.93,1.0,0.94,0.94,0.92,0.93,0.77,0.76,0.74,0.74
ENSDCDT00000071694_ENSDCDG00000034336,0.79,0.77,0.79,0.79,0.77,0.79,0.8,0.93,0.92,0.92,0.94,0.95,0.94,1.0,0.93,0.91,0.92,0.76,0.75,0.74,0.73
ENSDCDT00000071701_ENSDCDG00000034336,0.79,0.77,0.79,0.78,0.76,0.78,0.82,0.94,0.93,0.93,0.94,0.93,0.94,0.93,1.0,0.92,0.93,0.76,0.75,0.74,0.73
ENSDCDT00000071709_ENSDCDG00000034336,0.79,0.77,0.77,0.79,0.79,0.8,0.79,0.94,0.94,0.97,0.95,0.93,0.92,0.91,0.92,1.0,0.97,0.76,0.77,0.76,0.77
ENSDCDT00000071721_ENSDCDG00000034336,0.8,0.77,0.78,0.8,0.78,0.81,0.8,0.95,0.95,0.96,0.96,0.94,0.93,0.92,0.93,0.97,1.0,0.77,0.76,0.75,0.75
ENSAMXT00000038257_ENSAMXG00000004272,0.79,0.77,0.77,0.81,0.77,0.81,0.77,0.77,0.76,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.77,1.0,0.98,0.96,0.96
ENSAMXT00000046720_ENSAMXG00000004272,0.78,0.76,0.76,0.79,0.79,0.8,0.76,0.76,0.75,0.78,0.76,0.76,0.76,0.75,0.75,0.77,0.76,0.98,1.0,0.97,0.97
ENSAMXT00000004413_ENSAMXG00000004272,0.76,0.74,0.74,0.77,0.81,0.78,0.75,0.74,0.74,0.76,0.74,0.74,0.74,0.74,0.74,0.76,0.75,0.96,0.97,1.0,0.96
ENSAMXT00000052145_ENSAMXG00000004272,0.76,0.74,0.75,0.78,0.77,0.78,0.75,0.75,0.74,0.76,0.74,0.74,0.74,0.73,0.73,0.77,0.75,0.96,0.97,0.96,1.0
