,ENSCSAVT00000007018_ENSCSAVG00000004141,ENSCINT00000023318_ENSCING00000001357,ENSCINT00000012212_ENSCING00000005917,ENSCSAVT00000012068_ENSCSAVG00000007007,ENSFHET00000018701_ENSFHEG00000013088,FBtr0342891_FBgn0034628,FBtr0071606_FBgn0034628,FBtr0071607_FBgn0034629,FBtr0089548_FBgn0027572,FBtr0071003_FBgn0029924
ENSCSAVT00000007018_ENSCSAVG00000004141,1.0,0.59,0.35,0.36,0.29,0.26,0.26,0.31,0.29,1e-18
ENSCINT00000023318_ENSCING00000001357,0.59,1.0,0.39,0.38,0.31,0.26,0.26,0.29,0.29,0.3
ENSCINT00000012212_ENSCING00000005917,0.35,0.39,1.0,0.69,0.27,0.21,0.21,0.23,0.27,0.2
ENSCSAVT00000012068_ENSCSAVG00000007007,0.36,0.38,0.69,1.0,0.31,0.24,0.24,0.24,0.28,0.24
ENSFHET00000018701_ENSFHEG00000013088,0.29,0.31,0.27,0.31,1.0,0.25,0.25,0.27,0.29,0.32
FBtr0342891_FBgn0034628,0.26,0.26,0.21,0.24,0.25,1.0,0.92,0.48,0.42,0.32
FBtr0071606_FBgn0034628,0.26,0.26,0.21,0.24,0.25,0.92,1.0,0.48,0.42,0.32
FBtr0071607_FBgn0034629,0.31,0.29,0.23,0.24,0.27,0.48,0.48,1.0,0.42,0.32
FBtr0089548_FBgn0027572,0.29,0.29,0.27,0.28,0.29,0.42,0.42,0.42,1.0,0.33
FBtr0071003_FBgn0029924,1e-18,0.3,0.2,0.24,0.32,0.32,0.32,0.32,0.33,1.0
