,ENSVURT00010017993_ENSVURG00010012124,ENSVURT00010018009_ENSVURG00010012124,ENSVURT00010018017_ENSVURG00010012124,ENSPCIT00000068009_ENSPCIG00000023323,ENSPCIT00000064056_ENSPCIG00000023323,ENSPCIT00000038605_ENSPCIG00000023323,ENSSHAT00000001890_ENSSHAG00000001665,ENSSHAT00000001891_ENSSHAG00000001665,ENSMODT00000075858_ENSMODG00000018680,ENSMODT00000023700_ENSMODG00000018680,ENSMODT00000060571_ENSMODG00000018680,ENSMEUT00000014372_ENSMEUG00000014323,ENSPVAT00000011860_ENSPVAG00000011861,ENSMLUT00000016977_ENSMLUG00000016970,ENSUMAT00000013189_ENSUMAG00000008344,ENSUAMT00000004861_ENSUAMG00000003913,ENSAMET00000013090_ENSAMEG00000011927,ENSNVIT00000035637_ENSNVIG00000023689,ENSNVIT00000035643_ENSNVIG00000023689
ENSVURT00010017993_ENSVURG00010012124,1.0,0.97,0.95,0.97,0.97,0.94,0.93,0.93,0.92,0.93,0.91,0.93,0.71,0.77,0.76,0.73,0.77,0.73,0.76
ENSVURT00010018009_ENSVURG00010012124,0.97,1.0,0.95,0.94,0.94,0.92,0.9,0.9,0.89,0.91,0.88,0.9,0.69,0.75,0.73,0.73,0.74,0.71,0.74
ENSVURT00010018017_ENSVURG00010012124,0.95,0.95,1.0,0.93,0.93,0.91,0.89,0.89,0.88,0.89,0.87,0.88,0.67,0.73,0.71,0.71,0.72,0.69,0.72
ENSPCIT00000068009_ENSPCIG00000023323,0.97,0.94,0.93,1.0,0.99,0.97,0.93,0.92,0.92,0.93,0.91,0.92,0.72,0.77,0.77,0.73,0.77,0.74,0.77
ENSPCIT00000064056_ENSPCIG00000023323,0.97,0.94,0.93,0.99,1.0,0.97,0.93,0.92,0.92,0.94,0.91,0.92,0.72,0.78,0.77,0.73,0.78,0.74,0.77
ENSPCIT00000038605_ENSPCIG00000023323,0.94,0.92,0.91,0.97,0.97,1.0,0.9,0.9,0.89,0.91,0.93,0.92,0.69,0.75,0.74,0.7,0.74,0.74,0.74
ENSSHAT00000001890_ENSSHAG00000001665,0.93,0.9,0.89,0.93,0.93,0.9,1.0,0.99,0.9,0.92,0.89,0.89,0.7,0.76,0.75,0.72,0.76,0.73,0.75
ENSSHAT00000001891_ENSSHAG00000001665,0.93,0.9,0.89,0.92,0.92,0.9,0.99,1.0,0.9,0.92,0.89,0.89,0.7,0.76,0.76,0.72,0.77,0.73,0.76
ENSMODT00000075858_ENSMODG00000018680,0.92,0.89,0.88,0.92,0.92,0.89,0.9,0.9,1.0,0.97,0.95,0.88,0.7,0.75,0.74,0.71,0.75,0.72,0.75
ENSMODT00000023700_ENSMODG00000018680,0.93,0.91,0.89,0.93,0.94,0.91,0.92,0.92,0.97,1.0,0.97,0.9,0.72,0.77,0.76,0.73,0.77,0.74,0.76
ENSMODT00000060571_ENSMODG00000018680,0.91,0.88,0.87,0.91,0.91,0.93,0.89,0.89,0.95,0.97,1.0,0.9,0.69,0.74,0.73,0.7,0.74,0.74,0.74
ENSMEUT00000014372_ENSMEUG00000014323,0.93,0.9,0.88,0.92,0.92,0.92,0.89,0.89,0.88,0.9,0.9,1.0,0.69,0.76,0.74,0.71,0.75,0.74,0.74
ENSPVAT00000011860_ENSPVAG00000011861,0.71,0.69,0.67,0.72,0.72,0.69,0.7,0.7,0.7,0.72,0.69,0.69,1.0,0.85,0.86,0.83,0.86,0.83,0.86
ENSMLUT00000016977_ENSMLUG00000016970,0.77,0.75,0.73,0.77,0.78,0.75,0.76,0.76,0.75,0.77,0.74,0.76,0.85,1.0,0.9,0.87,0.9,0.87,0.89
ENSUMAT00000013189_ENSUMAG00000008344,0.76,0.73,0.71,0.77,0.77,0.74,0.75,0.76,0.74,0.76,0.73,0.74,0.86,0.9,1.0,0.95,0.97,0.92,0.95
ENSUAMT00000004861_ENSUAMG00000003913,0.73,0.73,0.71,0.73,0.73,0.7,0.72,0.72,0.71,0.73,0.7,0.71,0.83,0.87,0.95,1.0,0.94,0.9,0.92
ENSAMET00000013090_ENSAMEG00000011927,0.77,0.74,0.72,0.77,0.78,0.74,0.76,0.77,0.75,0.77,0.74,0.75,0.86,0.9,0.97,0.94,1.0,0.93,0.96
ENSNVIT00000035637_ENSNVIG00000023689,0.73,0.71,0.69,0.74,0.74,0.74,0.73,0.73,0.72,0.74,0.74,0.74,0.83,0.87,0.92,0.9,0.93,1.0,0.97
ENSNVIT00000035643_ENSNVIG00000023689,0.76,0.74,0.72,0.77,0.77,0.74,0.75,0.76,0.75,0.76,0.74,0.74,0.86,0.89,0.95,0.92,0.96,0.97,1.0
