,ENSVURT00010025493_ENSVURG00010017155,ENSPCIT00000026022_ENSPCIG00000016025,ENSPCIT00000026018_ENSPCIG00000016025,ENSSHAT00000009920_ENSSHAG00000008514,ENSMODT00000073730_ENSMODG00000016311,ENSCCNT00000037011_ENSCCNG00000027047,ENSCCNT00000037168_ENSCCNG00000027047,ENSCCNT00000037278_ENSCCNG00000027047,ENSPVIT00000013818_ENSPVIG00000006262,ENSPVIT00000014698_ENSPVIG00000006262,ENSNSUT00000027452_ENSNSUG00000018397,ENSNSUT00000027776_ENSNSUG00000018397,ENSNSUT00000027786_ENSNSUG00000018397,ENSNSUT00000027827_ENSNSUG00000018397,ENSNSUT00000027828_ENSNSUG00000018397,ENSNSUT00000027867_ENSNSUG00000018397,ENSNSUT00000027868_ENSNSUG00000018397,ENSGALT00000056316_ENSGALG00000037943,ENSGALT00000078523_ENSGALG00000037943,ENSCJPT00005017434_ENSCJPG00005010228,ENSCJPT00005017435_ENSCJPG00005010228,ENSNMET00000020317_ENSNMEG00000012159,ENSNMET00000020318_ENSNMEG00000012159,ENSNMET00000020319_ENSNMEG00000012159
ENSVURT00010025493_ENSVURG00010017155,1.0,0.94,0.93,0.94,0.91,0.81,0.8,0.8,0.72,0.73,0.71,0.75,0.76,0.76,0.74,0.74,0.75,0.74,0.77,0.75,0.77,0.73,0.72,0.76
ENSPCIT00000026022_ENSPCIG00000016025,0.94,1.0,0.94,0.92,0.91,0.82,0.79,0.8,0.72,0.73,0.71,0.75,0.75,0.75,0.74,0.75,0.75,0.74,0.77,0.74,0.77,0.73,0.72,0.76
ENSPCIT00000026018_ENSPCIG00000016025,0.93,0.94,1.0,0.92,0.9,0.79,0.76,0.77,0.71,0.72,0.68,0.72,0.73,0.73,0.71,0.72,0.72,0.72,0.75,0.72,0.75,0.71,0.7,0.74
ENSSHAT00000009920_ENSSHAG00000008514,0.94,0.92,0.92,1.0,0.91,0.81,0.79,0.8,0.73,0.74,0.7,0.75,0.75,0.75,0.74,0.74,0.75,0.74,0.77,0.75,0.77,0.74,0.72,0.77
ENSMODT00000073730_ENSMODG00000016311,0.91,0.91,0.9,0.91,1.0,0.81,0.78,0.78,0.72,0.72,0.7,0.74,0.75,0.75,0.74,0.74,0.75,0.73,0.76,0.73,0.76,0.73,0.71,0.76
ENSCCNT00000037011_ENSCCNG00000027047,0.81,0.82,0.79,0.81,0.81,1.0,0.93,0.94,0.73,0.73,0.7,0.73,0.75,0.74,0.73,0.74,0.74,0.75,0.78,0.76,0.79,0.75,0.74,0.78
ENSCCNT00000037168_ENSCCNG00000027047,0.8,0.79,0.76,0.79,0.78,0.93,1.0,0.96,0.7,0.71,0.7,0.72,0.73,0.73,0.71,0.73,0.73,0.73,0.75,0.73,0.76,0.73,0.72,0.76
ENSCCNT00000037278_ENSCCNG00000027047,0.8,0.8,0.77,0.8,0.78,0.94,0.96,1.0,0.71,0.72,0.7,0.73,0.74,0.73,0.72,0.73,0.73,0.73,0.76,0.74,0.76,0.74,0.72,0.76
ENSPVIT00000013818_ENSPVIG00000006262,0.72,0.72,0.71,0.73,0.72,0.73,0.7,0.71,1.0,0.9,0.75,0.77,0.77,0.77,0.76,0.75,0.76,0.74,0.74,0.74,0.74,0.74,0.72,0.75
ENSPVIT00000014698_ENSPVIG00000006262,0.73,0.73,0.72,0.74,0.72,0.73,0.71,0.72,0.9,1.0,0.75,0.77,0.78,0.77,0.76,0.76,0.76,0.77,0.76,0.77,0.75,0.77,0.75,0.76
