,ENSPCIT00000025027_ENSPCIG00000015443,ENSPCIT00000025018_ENSPCIG00000015443,ENSVURT00010031309_ENSVURG00010020936,ENSVURT00010031321_ENSVURG00010020936,ENSVURT00010031358_ENSVURG00010020936,ENSVURT00010031365_ENSVURG00010020936,ENSMODT00000036248_ENSMODG00000015995,ENSMODT00000085325_ENSMODG00000015995,ENSPTRT00000024341_ENSPTRG00000013115,ENSPTRT00000090523_ENSPTRG00000013115,ENSPTRT00000107793_ENSPTRG00000013115,ENST00000401884_ENSG00000162804,ENST00000405547_ENSG00000162804,ENST00000310397_ENSG00000162804,ENST00000342631_ENSG00000162804,ENSPPYT00000015528_ENSPPYG00000013346,ENSNLET00000017482_ENSNLEG00000013708,ENSNLET00000035082_ENSNLEG00000013708,ENSNLET00000042168_ENSNLEG00000013708,ENSNLET00000042742_ENSNLEG00000013708,ENSPTET00000052410_ENSPTEG00000036083,ENSPTET00000052411_ENSPTEG00000036083
ENSPCIT00000025027_ENSPCIG00000015443,1.0,0.94,0.84,0.83,0.84,0.83,0.79,0.78,0.68,0.69,0.68,0.67,0.69,0.69,0.59,0.68,0.66,0.66,0.66,0.58,0.68,0.69
ENSPCIT00000025018_ENSPCIG00000015443,0.94,1.0,0.85,0.84,0.84,0.85,0.79,0.78,0.69,0.69,0.69,0.69,0.69,0.69,0.6,0.69,0.67,0.66,0.67,0.59,0.69,0.69
ENSVURT00010031309_ENSVURG00010020936,0.84,0.85,1.0,0.93,0.93,0.94,0.75,0.72,0.63,0.64,0.62,0.62,0.63,0.64,0.63,0.64,0.63,0.62,0.61,0.61,0.64,0.64
ENSVURT00010031321_ENSVURG00010020936,0.83,0.84,0.93,1.0,0.91,0.91,0.74,0.72,0.62,0.62,0.61,0.61,0.62,0.62,0.61,0.62,0.62,0.61,0.6,0.6,0.63,0.62
ENSVURT00010031358_ENSVURG00010020936,0.84,0.84,0.93,0.91,1.0,0.94,0.74,0.73,0.62,0.63,0.63,0.62,0.63,0.63,0.64,0.63,0.62,0.61,0.63,0.61,0.63,0.64
ENSVURT00010031365_ENSVURG00010020936,0.83,0.85,0.94,0.91,0.94,1.0,0.74,0.73,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.61,0.61,0.62,0.6,0.63,0.64
ENSMODT00000036248_ENSMODG00000015995,0.79,0.79,0.75,0.74,0.74,0.74,1.0,0.95,0.72,0.73,0.71,0.71,0.73,0.73,0.61,0.73,0.7,0.7,0.69,0.59,0.73,0.73
ENSMODT00000085325_ENSMODG00000015995,0.78,0.78,0.72,0.72,0.73,0.73,0.95,1.0,0.7,0.7,0.71,0.73,0.71,0.7,0.6,0.7,0.68,0.67,0.69,0.57,0.71,0.72
ENSPTRT00000024341_ENSPTRG00000013115,0.68,0.69,0.63,0.62,0.62,0.62,0.72,0.7,1.0,0.97,0.97,0.94,0.95,0.96,0.83,0.94,0.91,0.91,0.9,0.8,0.93,0.93
ENSPTRT00000090523_ENSPTRG00000013115,0.69,0.69,0.64,0.62,0.63,0.63,0.73,0.7,0.97,1.0,0.96,0.94,0.96,0.96,0.83,0.95,0.92,0.91,0.9,0.8,0.94,0.93
