,FBtr0088941_FBgn0033210,H20J04.8.1_WBGene00003390,H20J04.8.2_WBGene00003390,ENSPVIT00000006750_ENSPVIG00000004298,ENSPVIT00000006751_ENSPVIG00000004298,ENSACAT00000003179_ENSACAG00000003173,ENSNSUT00000002881_ENSNSUG00000002204,ENSSMRT00000033784_ENSSMRG00000022283,ENSSPUT00000015072_ENSSPUG00000010899,ENSNPET00000011076_ENSNPEG00000008121,ENSNPET00000011079_ENSNPEG00000008121,ENSCPGT00000021985_ENSCPGG00000014058,ENSGALT00000011612_ENSGALG00000007170,ENSGALT00000089609_ENSGALG00000007170,ENSCJPT00005036055_ENSCJPG00005020683,ENSCJPT00005036072_ENSCJPG00005020683,ENSNMET00000040040_ENSNMEG00000023218,ENSMUNT00000012773_ENSMUNG00000008682,ENSCCET00000013806_ENSCCEG00000008909,ENSFALT00000010683_ENSFALG00000010195,ENSSCAT00000014450_ENSSCAG00000009581,ENSJHYT00000021084_ENSJHYG00000013338,ENSJHYT00000021090_ENSJHYG00000013338,ENSLCOT00000007402_ENSLCOG00000005126,ENSMVIT00005016662_ENSMVIG00005010619,ENSPMJT00000016788_ENSPMJG00000009778,ENSPMJT00000016790_ENSPMJG00000009778
FBtr0088941_FBgn0033210,1.0,0.41,0.41,0.38,0.27,0.36,0.39,0.42,0.43,0.54,0.54,0.4,0.34,0.34,0.32,0.32,0.36,0.41,0.43,0.45,0.48,0.5,0.5,0.46,0.45,0.43,0.43
H20J04.8.1_WBGene00003390,0.41,1.0,0.9,0.4,0.28,0.36,0.39,0.36,0.37,0.38,0.38,0.38,0.37,0.37,0.39,0.39,0.37,0.38,0.36,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.37
H20J04.8.2_WBGene00003390,0.41,0.9,1.0,0.4,0.28,0.36,0.39,0.36,0.37,0.38,0.38,0.38,0.37,0.37,0.39,0.39,0.37,0.38,0.36,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.37
ENSPVIT00000006750_ENSPVIG00000004298,0.38,0.4,0.4,1.0,0.94,0.84,0.83,0.84,0.76,0.71,0.59,0.78,0.77,0.67,0.65,0.75,0.77,0.74,0.77,0.77,0.76,0.71,0.61,0.77,0.77,0.78,0.67
ENSPVIT00000006751_ENSPVIG00000004298,0.27,0.28,0.28,0.94,1.0,0.8,0.8,0.8,0.76,0.66,0.54,0.74,0.73,0.63,0.6,0.7,0.73,0.7,0.72,0.73,0.72,0.72,0.61,0.73,0.73,0.73,0.63
ENSACAT00000003179_ENSACAG00000003173,0.36,0.36,0.36,0.84,0.8,1.0,0.82,0.84,0.75,0.69,0.57,0.78,0.76,0.66,0.65,0.74,0.77,0.73,0.75,0.75,0.73,0.69,0.59,0.75,0.75,0.76,0.66
ENSNSUT00000002881_ENSNSUG00000002204,0.39,0.39,0.39,0.83,0.8,0.82,1.0,0.83,0.78,0.71,0.6,0.79,0.77,0.69,0.67,0.75,0.77,0.75,0.77,0.78,0.76,0.7,0.61,0.78,0.78,0.78,0.69
ENSSMRT00000033784_ENSSMRG00000022283,0.42,0.36,0.36,0.84,0.8,0.84,0.83,1.0,0.77,0.7,0.6,0.79,0.76,0.69,0.67,0.75,0.77,0.74,0.75,0.76,0.74,0.7,0.62,0.76,0.76,0.76,0.68
ENSSPUT00000015072_ENSSPUG00000010899,0.43,0.37,0.37,0.76,0.76,0.75,0.78,0.77,1.0,0.68,0.61,0.76,0.75,0.68,0.64,0.71,0.74,0.72,0.74,0.74,0.73,0.73,0.66,0.75,0.75,0.74,0.67
ENSNPET00000011076_ENSNPEG00000008121,0.54,0.38,0.38,0.71,0.66,0.69,0.71,0.7,0.68,1.0,0.88,0.78,0.76,0.66,0.65,0.74,0.76,0.74,0.78,0.78,0.79,0.75,0.67,0.79,0.78,0.78,0.69
ENSNPET00000011079_ENSNPEG00000008121,0.54,0.38,0.38,0.59,0.54,0.57,0.6,0.6,0.61,0.88,1.0,0.68,0.66,0.7,0.66,0.65,0.66,0.67,0.69,0.69,0.71,0.67,0.71,0.7,0.69,0.69,0.75
ENSCPGT00000021985_ENSCPGG00000014058,0.4,0.38,0.38,0.78,0.74,0.78,0.79,0.79,0.76,0.78,0.68,1.0,0.88,0.79,0.75,0.83,0.88,0.86,0.87,0.87,0.87,0.81,0.74,0.88,0.88,0.88,0.8
ENSGALT00000011612_ENSGALG00000007170,0.34,0.37,0.37,0.77,0.73,0.76,0.77,0.76,0.75,0.76,0.66,0.88,1.0,0.89,0.83,0.9,0.95,0.82,0.84,0.84,0.83,0.79,0.71,0.84,0.84,0.85,0.76
ENSGALT00000089609_ENSGALG00000007170,0.34,0.37,0.37,0.67,0.63,0.66,0.69,0.69,0.68,0.66,0.7,0.79,0.89,1.0,0.86,0.84,0.86,0.76,0.75,0.75,0.75,0.71,0.75,0.75,0.75,0.76,0.82
ENSCJPT00005036055_ENSCJPG00005020683,0.32,0.39,0.39,0.65,0.6,0.65,0.67,0.67,0.64,0.65,0.66,0.75,0.83,0.86,1.0,0.87,0.82,0.75,0.71,0.71,0.7,0.67,0.69,0.71,0.71,0.71,0.74
ENSCJPT00005036072_ENSCJPG00005020683,0.32,0.39,0.39,0.75,0.7,0.74,0.75,0.75,0.71,0.74,0.65,0.83,0.9,0.84,0.87,1.0,0.9,0.8,0.82,0.82,0.82,0.77,0.69,0.82,0.82,0.82,0.73
