,ENSDCDT00000053812_ENSDCDG00000026584,ENSDCDT00000053853_ENSDCDG00000026584,ENSDCDT00000055721_ENSDCDG00000027376,ENSDCDT00000055787_ENSDCDG00000027376,ENSCHAT00000019288_ENSCHAG00000007421,ENSCHAT00000019507_ENSCHAG00000007421,ENSEEET00000032279_ENSEEEG00000014757,ENSEEET00000032308_ENSEEEG00000014757,ENSEEET00000032404_ENSEEEG00000014757,ENSCVAT00000004077_ENSCVAG00000009010,ENSCVAT00000004272_ENSCVAG00000009010,ENSCVAT00000004392_ENSCVAG00000009010,ENSCVAT00000004612_ENSCVAG00000009010,ENSCVAT00000004685_ENSCVAG00000009010,ENSCVAT00000004708_ENSCVAG00000009010,ENSPFOT00000004547_ENSPFOG00000004555,ENSXMAT00000012399_ENSXMAG00000012340,ENSGAFT00000026050_ENSGAFG00000017398,ENSKMAT00000025442_ENSKMAG00000018595,ENSKMAT00000025471_ENSKMAG00000018595
ENSDCDT00000053812_ENSDCDG00000026584,1.0,0.93,0.98,0.93,0.85,0.8,0.75,0.7,0.7,0.72,0.71,0.69,0.69,0.68,0.67,0.78,0.77,0.7,0.79,0.75
ENSDCDT00000053853_ENSDCDG00000026584,0.93,1.0,0.93,0.96,0.8,0.81,0.71,0.71,0.71,0.67,0.67,0.67,0.68,0.68,0.66,0.72,0.72,0.71,0.74,0.71
ENSDCDT00000055721_ENSDCDG00000027376,0.98,0.93,1.0,0.93,0.85,0.8,0.75,0.7,0.7,0.72,0.71,0.69,0.69,0.68,0.67,0.77,0.77,0.7,0.78,0.75
ENSDCDT00000055787_ENSDCDG00000027376,0.93,0.96,0.93,1.0,0.8,0.81,0.71,0.7,0.7,0.67,0.67,0.67,0.68,0.68,0.66,0.72,0.72,0.71,0.74,0.71
ENSCHAT00000019288_ENSCHAG00000007421,0.85,0.8,0.85,0.8,1.0,0.93,0.76,0.72,0.71,0.73,0.72,0.7,0.7,0.69,0.68,0.78,0.78,0.7,0.79,0.76
ENSCHAT00000019507_ENSCHAG00000007421,0.8,0.81,0.8,0.81,0.93,1.0,0.72,0.71,0.71,0.68,0.68,0.68,0.69,0.69,0.67,0.73,0.73,0.71,0.74,0.72
ENSEEET00000032279_ENSEEEG00000014757,0.75,0.71,0.75,0.71,0.76,0.72,1.0,0.91,0.89,0.75,0.73,0.72,0.72,0.71,0.7,0.76,0.75,0.69,0.74,0.72
ENSEEET00000032308_ENSEEEG00000014757,0.7,0.71,0.7,0.7,0.72,0.71,0.91,1.0,0.9,0.69,0.69,0.69,0.71,0.71,0.69,0.71,0.7,0.69,0.7,0.68
ENSEEET00000032404_ENSEEEG00000014757,0.7,0.71,0.7,0.7,0.71,0.71,0.89,0.9,1.0,0.68,0.67,0.68,0.68,0.68,0.67,0.69,0.69,0.68,0.68,0.66
ENSCVAT00000004077_ENSCVAG00000009010,0.72,0.67,0.72,0.67,0.73,0.68,0.75,0.69,0.68,1.0,0.95,0.93,0.93,0.91,0.91,0.87,0.88,0.81,0.83,0.8
ENSCVAT00000004272_ENSCVAG00000009010,0.71,0.67,0.71,0.67,0.72,0.68,0.73,0.69,0.67,0.95,1.0,0.92,0.92,0.9,0.9,0.86,0.87,0.8,0.82,0.79
ENSCVAT00000004392_ENSCVAG00000009010,0.69,0.67,0.69,0.67,0.7,0.68,0.72,0.69,0.68,0.93,0.92,1.0,0.93,0.91,0.91,0.84,0.85,0.81,0.8,0.78
ENSCVAT00000004612_ENSCVAG00000009010,0.69,0.68,0.69,0.68,0.7,0.69,0.72,0.71,0.68,0.93,0.92,0.93,1.0,0.94,0.93,0.84,0.85,0.81,0.8,0.78
ENSCVAT00000004685_ENSCVAG00000009010,0.68,0.68,0.68,0.68,0.69,0.69,0.71,0.71,0.68,0.91,0.9,0.91,0.94,1.0,0.91,0.83,0.83,0.81,0.78,0.76
ENSCVAT00000004708_ENSCVAG00000009010,0.67,0.66,0.67,0.66,0.68,0.67,0.7,0.69,0.67,0.91,0.9,0.91,0.93,0.91,1.0,0.83,0.83,0.79,0.78,0.76
ENSPFOT00000004547_ENSPFOG00000004555,0.78,0.72,0.77,0.72,0.78,0.73,0.76,0.71,0.69,0.87,0.86,0.84,0.84,0.83,0.83,1.0,0.96,0.87,0.89,0.86
ENSXMAT00000012399_ENSXMAG00000012340,0.77,0.72,0.77,0.72,0.78,0.73,0.75,0.7,0.69,0.88,0.87,0.85,0.85,0.83,0.83,0.96,1.0,0.88,0.88,0.85
ENSGAFT00000026050_ENSGAFG00000017398,0.7,0.71,0.7,0.71,0.7,0.71,0.69,0.69,0.68,0.81,0.8,0.81,0.81,0.81,0.79,0.87,0.88,1.0,0.8,0.78
ENSKMAT00000025442_ENSKMAG00000018595,0.79,0.74,0.78,0.74,0.79,0.74,0.74,0.7,0.68,0.83,0.82,0.8,0.8,0.78,0.78,0.89,0.88,0.8,1.0,0.94
ENSKMAT00000025471_ENSKMAG00000018595,0.75,0.71,0.75,0.71,0.76,0.72,0.72,0.68,0.66,0.8,0.79,0.78,0.78,0.76,0.76,0.86,0.85,0.78,0.94,1.0
