,ENSVURT00010033949_ENSVURG00010022788,ENSVURT00010033963_ENSVURG00010022800,ENSPCIT00000050903_ENSPCIG00000030206,ENSPCIT00000050905_ENSPCIG00000030206,ENSPCIT00000068350_ENSPCIG00000030206,ENSPCIT00000055818_ENSPCIG00000030206,ENSMEUT00000008563_ENSMEUG00000008540,ENSSHAT00000005412_ENSSHAG00000004684,ENSMODT00000077889_ENSMODG00000020907,ENSMODT00000028975_ENSMODG00000020907,ENSMODT00000070575_ENSMODG00000020907
ENSVURT00010033949_ENSVURG00010022788,1.0,0.88,0.94,0.92,0.92,0.93,0.82,0.9,0.87,0.84,0.85
ENSVURT00010033963_ENSVURG00010022800,0.88,1.0,0.85,0.82,0.86,0.83,0.75,0.8,0.75,0.71,0.76
ENSPCIT00000050903_ENSPCIG00000030206,0.94,0.85,1.0,0.97,0.96,0.98,0.82,0.9,0.88,0.85,0.84
ENSPCIT00000050905_ENSPCIG00000030206,0.92,0.82,0.97,1.0,0.93,0.96,0.81,0.88,0.85,0.87,0.82
ENSPCIT00000068350_ENSPCIG00000030206,0.92,0.86,0.96,0.93,1.0,0.94,0.81,0.88,0.84,0.82,0.87
ENSPCIT00000055818_ENSPCIG00000030206,0.93,0.83,0.98,0.96,0.94,1.0,0.81,0.89,0.86,0.84,0.83
ENSMEUT00000008563_ENSMEUG00000008540,0.82,0.75,0.82,0.81,0.81,0.81,1.0,0.81,0.78,0.77,0.77
ENSSHAT00000005412_ENSSHAG00000004684,0.9,0.8,0.9,0.88,0.88,0.89,0.81,1.0,0.86,0.84,0.84
ENSMODT00000077889_ENSMODG00000020907,0.87,0.75,0.88,0.85,0.84,0.86,0.78,0.86,1.0,0.97,0.96
ENSMODT00000028975_ENSMODG00000020907,0.84,0.71,0.85,0.87,0.82,0.84,0.77,0.84,0.97,1.0,0.93
ENSMODT00000070575_ENSMODG00000020907,0.85,0.76,0.84,0.82,0.87,0.83,0.77,0.84,0.96,0.93,1.0
